claim,label,evidence
Selena recorded music.,SUPPORTS,
Selena recorded music.,SUPPORTS,
Selena recorded music.,SUPPORTS,
Selena recorded music.,SUPPORTS,
Selena recorded music.,SUPPORTS,
John Wick: Chapter 2 was theatrically released in the Oregon.,NOT ENOUGH INFO,
"Robert J. O'Neill was born April 10, 1976.",SUPPORTS,
Afghanistan is the source of the Kushan dynasty.,NOT ENOUGH INFO,
Marilyn Monroe worked with Warner Brothers.,NOT ENOUGH INFO,
The Silence of the Lambs was a film starring Scott Glenn.,SUPPORTS,
The Silence of the Lambs was a film starring Scott Glenn.,SUPPORTS,
Peggy Sue Got Married is a Egyptian film released in 1986.,REFUTES,
Peggy Sue Got Married is a Egyptian film released in 1986.,REFUTES,
Peggy Sue Got Married is a Egyptian film released in 1986.,REFUTES,
Andy Roddick lost 5 Master Series between 2002 and 2010.,REFUTES,
"As the Vietnam War raged in 1969, Yoko Ono and her husband John Lennon did not have two week-long Bed-Ins for Peace.",REFUTES,
Tupac Shakur was born Lesane Parish Crooks.,SUPPORTS,
Tupac Shakur was born Lesane Parish Crooks.,SUPPORTS,
Harold Ramis was a veteran.,NOT ENOUGH INFO,
"The Jim Henson Company produced The Muppet Movie, The Dark Crystal, and Labyrinth.",SUPPORTS,
United Nations was relocated to the United States in 1945.,NOT ENOUGH INFO,
Whoopi Goldberg co-produced an American dance tournament.,NOT ENOUGH INFO,
Slovenia uses the euro.,SUPPORTS,
Slovenia uses the euro.,SUPPORTS,
Iowa is a part of the Midwestern United States.,SUPPORTS,
Keith Urban is a person who sings.,NOT ENOUGH INFO,
Keith Urban is a person who sings.,NOT ENOUGH INFO,
Keith Urban is a person who sings.,NOT ENOUGH INFO,
Hotell is owned by Lisa Langseth.,NOT ENOUGH INFO,
Saratoga is an American film from 1937.,SUPPORTS,
J. Howard Marshall was a baby.,SUPPORTS,
J. Howard Marshall was a baby.,SUPPORTS,
Grace Jones is a dancer.,REFUTES,
Lisbon has a population larger than 1.,SUPPORTS,
Lisbon has a population larger than 1.,SUPPORTS,
Willie Nelson dropped out of college after three years.,REFUTES,
Malcolm Young was the co-founder of Australian hard rock band AC/DC.,SUPPORTS,
Nice & Slow is a jazz single.,NOT ENOUGH INFO,
Nice & Slow is a jazz single.,NOT ENOUGH INFO,
Nice & Slow is a jazz single.,NOT ENOUGH INFO,
Nice & Slow is a jazz single.,NOT ENOUGH INFO,
Nice & Slow is a jazz single.,NOT ENOUGH INFO,
Newfoundland and Labrador is the most linguistically homogeneous of Canada.,SUPPORTS,
Furia is adapted from a short story by Anna Politkovskaya.,REFUTES,
One state of the United States has Russia to its west.,SUPPORTS,
Sophie Turner was born in the 1990s.,SUPPORTS,
Mother Teresa was made a saint by the church.,SUPPORTS,
The Smurfs (film) was released.,SUPPORTS,
The Smurfs (film) was released.,SUPPORTS,
The Smurfs (film) was released.,SUPPORTS,
The Smurfs (film) was released.,SUPPORTS,
The Smurfs (film) was released.,SUPPORTS,
C. S. Forester's first name was Carl.,REFUTES,
Kong: Skull Island is a book.,REFUTES,
The Challenge was a scripted show.,REFUTES,
Berlin is the capital of Germany.,SUPPORTS,
South Korea has a highly educated workforce.,SUPPORTS,
Jimmy Carter led the international boycott of the 2010 Olympics.,NOT ENOUGH INFO,
Hulk(comics) is a cooking recipe published by Marvel Comics recipe books.,NOT ENOUGH INFO,
"Hacksaw Ridge came out in America on November 4, 2016.",SUPPORTS,
The blue-ringed octopus hunts sharks.,NOT ENOUGH INFO,
Buddy Holly's dog's name was Tito Rodriguez.,NOT ENOUGH INFO,
Buddy Holly's dog's name was Tito Rodriguez.,NOT ENOUGH INFO,
Buddy Holly's dog's name was Tito Rodriguez.,NOT ENOUGH INFO,
Buddy Holly's dog's name was Tito Rodriguez.,NOT ENOUGH INFO,
Buddy Holly's dog's name was Tito Rodriguez.,NOT ENOUGH INFO,
Buddy Holly's dog's name was Tito Rodriguez.,NOT ENOUGH INFO,
Michael Fassbender is an actor.,SUPPORTS,
Michael Fassbender is an actor.,SUPPORTS,
Michael Fassbender is an actor.,SUPPORTS,
Michael Fassbender is an actor.,SUPPORTS,
Red Headed Stranger is a movie.,REFUTES,
Red Headed Stranger is a movie.,REFUTES,
Richard Eyre was born on an island.,NOT ENOUGH INFO,
Paul Bettany has played Vision in at least two works.,SUPPORTS,
Paul Bettany has played Vision in at least two works.,SUPPORTS,
Scotland's Hebrides is widespread and diverse with many islands.,SUPPORTS,
Scotland's Hebrides is widespread and diverse with many islands.,SUPPORTS,
Ricky Martin has cried on TV.,NOT ENOUGH INFO,
Ricky Martin has cried on TV.,NOT ENOUGH INFO,
Uzbekistan is a part of the Commonwealth of Independent States (CIS).,SUPPORTS,
Paul Wesley is a professional alias.,NOT ENOUGH INFO,
"Charles, Prince of Wales is patron of numerous other organizations.",SUPPORTS,
Chester Bennington is not a singer.,REFUTES,
Chester Bennington is not a singer.,REFUTES,
Chester Bennington is not a singer.,REFUTES,
Chester Bennington is not a singer.,REFUTES,
Chester Bennington is not a singer.,REFUTES,
Vincent Cassel played Jacques Mesrine in at least two films.,SUPPORTS,
Pope John Paul II co-stars many actors besides Christopher Lee.,SUPPORTS,
David Beckham has zero middle names.,REFUTES,
Indiana Jones has only been portrayed by Harrison Ford.,REFUTES,
Brian Wilson was part of the Beach Boys.,SUPPORTS,
Brian Wilson was part of the Beach Boys.,SUPPORTS,
Brian Wilson was part of the Beach Boys.,SUPPORTS,
Brian Wilson was part of the Beach Boys.,SUPPORTS,
Brian Wilson was part of the Beach Boys.,SUPPORTS,
Brian Wilson was part of the Beach Boys.,SUPPORTS,
Brian Wilson was part of the Beach Boys.,SUPPORTS,
Brian Wilson was part of the Beach Boys.,SUPPORTS,
Brian Wilson was part of the Beach Boys.,SUPPORTS,
Brian Wilson was part of the Beach Boys.,SUPPORTS,
Brian Wilson was part of the Beach Boys.,SUPPORTS,
Brian Wilson was part of the Beach Boys.,SUPPORTS,
Brian Wilson was part of the Beach Boys.,SUPPORTS,
The Existence of God has been argued through the Five Ways.,NOT ENOUGH INFO,
The Great Gatsby centers on a youthful person with over a million dollars.,SUPPORTS,
Shane Black and Chris Miller wrote Iron Man 3.,REFUTES,
"La La Anthony was conceived on June 25th, 1979.",REFUTES,
Led Zeppelin is a band.,SUPPORTS,
Led Zeppelin is a band.,SUPPORTS,
Led Zeppelin is a band.,SUPPORTS,
Led Zeppelin is a band.,SUPPORTS,
Led Zeppelin is a band.,SUPPORTS,
Led Zeppelin is a band.,SUPPORTS,
Led Zeppelin is a band.,SUPPORTS,
Led Zeppelin is a band.,SUPPORTS,
Led Zeppelin is a band.,SUPPORTS,
Led Zeppelin is a band.,SUPPORTS,
Led Zeppelin is a band.,SUPPORTS,
Led Zeppelin is a band.,SUPPORTS,
Led Zeppelin is a band.,SUPPORTS,
Led Zeppelin is a band.,SUPPORTS,
Led Zeppelin is a band.,SUPPORTS,
Led Zeppelin is a band.,SUPPORTS,
Led Zeppelin is a band.,SUPPORTS,
"Richard Harris was born on October 25, 2002.",SUPPORTS,
The Fosters is a television series.,SUPPORTS,
The Fosters is a television series.,SUPPORTS,
Blair is Jonathan Hensleigh's middle name.,SUPPORTS,
Filmfare is about cheese.,REFUTES,
Buckingham Palace lacks brightly colored scagliola.,REFUTES,
Sarah Paulson makes an appearance in What Women Want.,SUPPORTS,
David Harbour is an American.,SUPPORTS,
Nicole Scherzinger toured 15 times.,NOT ENOUGH INFO,
Nicole Scherzinger toured 15 times.,NOT ENOUGH INFO,
The terrain of Kazakhstan includes taiga.,SUPPORTS,
Sade (singer) has a song called London.,NOT ENOUGH INFO,
"José María Chacón surrendered the island of Trinidad in 1797, one year before his death.",REFUTES,
Liverpool F.C. was valued at $1.55 billion at one point.,SUPPORTS,
Land Rover makes cars.,SUPPORTS,
Land Rover makes cars.,SUPPORTS,
Sully is a form of media.,SUPPORTS,
Stanley Tucci performed in an television series.,SUPPORTS,
Stanley Tucci performed in an television series.,SUPPORTS,
Martin Scorsese worked on commission.,NOT ENOUGH INFO,
Brock Lesnar married Randy Couture.,REFUTES,
Snowden's cast includes two actors born in 1934.,NOT ENOUGH INFO,
Tiger Woods had an uncontested victory at the Arnold Palmer Invitational.,NOT ENOUGH INFO,
The Khmer Empire was not weak.,SUPPORTS,
On the Road (film) premiered at a film festival.,SUPPORTS,
On the Road (film) premiered at a film festival.,SUPPORTS,
On the Road (film) premiered at a film festival.,SUPPORTS,
Bob Dylan has been inducted into four different colleges.,NOT ENOUGH INFO,
Paramore's co-founders left the band in March 2010.,SUPPORTS,
Peter Davison has been in a BBC show.,SUPPORTS,
Peter Davison has been in a BBC show.,SUPPORTS,
Peter Davison has been in a BBC show.,SUPPORTS,
"21 Jump Street was released June 16, 2012.",REFUTES,
"The collections of the Philadelphia Museum of Art contain over 240,000 objects.",SUPPORTS,
Dustin Hoffman is an award-winning actor.,SUPPORTS,
Dustin Hoffman is an award-winning actor.,SUPPORTS,
Dustin Hoffman is an award-winning actor.,SUPPORTS,
Dustin Hoffman is an award-winning actor.,SUPPORTS,
T. J. Miller was featured in Deadpool 2.,SUPPORTS,
Chris Terrio was born in Kansas.,NOT ENOUGH INFO,
Stephen Hawking is an Honorary Fellow of the Royal Society of Chemistry.,NOT ENOUGH INFO,
Stephon Marbury plays basketball in America.,REFUTES,
Tiger Woods is a bowler.,NOT ENOUGH INFO,
Sense and Sensibility was published in the summer of 1811.,NOT ENOUGH INFO,
CP affects people.,SUPPORTS,
Alfred Hitchcock is a person.,SUPPORTS,
Julius Caesar is only a book.,REFUTES,
Pulp Fiction is directed by a male.,SUPPORTS,
Pulp Fiction is directed by a male.,SUPPORTS,
Pulp Fiction is directed by a male.,SUPPORTS,
Absolute Beginners was directed by Hitchcock.,REFUTES,
No Reservations got a mixed reception from critics.,SUPPORTS,
Claire Danes is wedded to an actor from England.,SUPPORTS,
Claire Danes is wedded to an actor from England.,SUPPORTS,
Claire Danes is wedded to an actor from England.,SUPPORTS,
Claire Danes is wedded to an actor from England.,SUPPORTS,
Dangerous Liaisons is based on Christopher Hampton's novel.,REFUTES,
The Academy Awards are an annual event.,SUPPORTS,
The Academy Awards are an annual event.,SUPPORTS,
Greyson Chance is a politician.,NOT ENOUGH INFO,
Mirka Federer is a former professional video game player.,NOT ENOUGH INFO,
Hubert Humphrey became the DFL candidate for mayor of a city.,SUPPORTS,
Hubert Humphrey became the DFL candidate for mayor of a city.,SUPPORTS,
Mariah Carey was named on the 27th.,NOT ENOUGH INFO,
Mariah Carey was named on the 27th.,NOT ENOUGH INFO,
Krysten Ritter played a role on Veronica Mars on the Disney channel.,NOT ENOUGH INFO,
Alex Rodriguez has 666 home runs.,SUPPORTS,
Friendship has been studied in academic fields.,SUPPORTS,
Friendship has been studied in academic fields.,SUPPORTS,
Judd Apatow is a person who writes.,SUPPORTS,
Judd Apatow is a person who writes.,SUPPORTS,
Judd Apatow is a person who writes.,SUPPORTS,
Massachusetts is far away from Rhode Island.,REFUTES,
Giancarlo Stanton was in the 2017 MLB draft.,REFUTES,
Chris Pine appeared in Wonder Woman (2017 film).,SUPPORTS,
Trevor Noah hosts a news satire show.,SUPPORTS,
Lucas starred an actor that died on March 10.,SUPPORTS,
Lucas starred an actor that died on March 10.,SUPPORTS,
Lucas starred an actor that died on March 10.,SUPPORTS,
Ryan Phillippe refused to perform in the soap opera One Life to Live.,REFUTES,
Sean Connery never won an Academy Award.,REFUTES,
Sean Connery never won an Academy Award.,REFUTES,
Venom has since become less of an antihero.,REFUTES,
"Overwatch is a video game in which players gain cosmetic awards and it assigns players into two teams of six, each player with a style of play known as Offense, Defense, Tank, and Support.",SUPPORTS,
"Overwatch is a video game in which players gain cosmetic awards and it assigns players into two teams of six, each player with a style of play known as Offense, Defense, Tank, and Support.",SUPPORTS,
"Overwatch is a video game in which players gain cosmetic awards and it assigns players into two teams of six, each player with a style of play known as Offense, Defense, Tank, and Support.",SUPPORTS,
"Overwatch is a video game in which players gain cosmetic awards and it assigns players into two teams of six, each player with a style of play known as Offense, Defense, Tank, and Support.",SUPPORTS,
"Overwatch is a video game in which players gain cosmetic awards and it assigns players into two teams of six, each player with a style of play known as Offense, Defense, Tank, and Support.",SUPPORTS,
"Overwatch is a video game in which players gain cosmetic awards and it assigns players into two teams of six, each player with a style of play known as Offense, Defense, Tank, and Support.",SUPPORTS,
"Overwatch is a video game in which players gain cosmetic awards and it assigns players into two teams of six, each player with a style of play known as Offense, Defense, Tank, and Support.",SUPPORTS,
"Overwatch is a video game in which players gain cosmetic awards and it assigns players into two teams of six, each player with a style of play known as Offense, Defense, Tank, and Support.",SUPPORTS,
"Overwatch is a video game in which players gain cosmetic awards and it assigns players into two teams of six, each player with a style of play known as Offense, Defense, Tank, and Support.",SUPPORTS,
"Overwatch is a video game in which players gain cosmetic awards and it assigns players into two teams of six, each player with a style of play known as Offense, Defense, Tank, and Support.",SUPPORTS,
Lily James has been on TV.,SUPPORTS,
Lily James has been on TV.,SUPPORTS,
Lily James has been on TV.,SUPPORTS,
Lily James has been on TV.,SUPPORTS,
Lily James has been on TV.,SUPPORTS,
Lily James has been on TV.,SUPPORTS,
Lily James has been on TV.,SUPPORTS,
Lily James has been on TV.,SUPPORTS,
Lily James has been on TV.,SUPPORTS,
Lily James has been on TV.,SUPPORTS,
Lily James has been on TV.,SUPPORTS,
Lily James has been on TV.,SUPPORTS,
Lily James has been on TV.,SUPPORTS,
Lily James has been on TV.,SUPPORTS,
Lily James has been on TV.,SUPPORTS,
Lily James has been on TV.,SUPPORTS,
Lily James has been on TV.,SUPPORTS,
Lily James has been on TV.,SUPPORTS,
Lily James has been on TV.,SUPPORTS,
Lily James has been on TV.,SUPPORTS,
Lily James has been on TV.,SUPPORTS,
Lily James has been on TV.,SUPPORTS,
Lily James has been on TV.,SUPPORTS,
Helen Gardner studied art history from France.,NOT ENOUGH INFO,
Jing Tian date of birth is in July.,SUPPORTS,
Jennifer Aniston's parents are Fred and Wilma Flintstone.,REFUTES,
The Peloponnesian War was won by Sparta.,SUPPORTS,
The Peloponnesian War was won by Sparta.,SUPPORTS,
The Peloponnesian War was won by Sparta.,SUPPORTS,
The Peloponnesian War was won by Sparta.,SUPPORTS,
The Peloponnesian War was won by Sparta.,SUPPORTS,
The Peloponnesian War was won by Sparta.,SUPPORTS,
Isis had a temple at Behbeit El Hagar.,SUPPORTS,
International Relations only includes the entertainment industry.,REFUTES,
International Relations only includes the entertainment industry.,REFUTES,
International Relations only includes the entertainment industry.,REFUTES,
International Relations only includes the entertainment industry.,REFUTES,
International Relations only includes the entertainment industry.,REFUTES,
Judd Apatow produced a Broadway show.,NOT ENOUGH INFO,
Mexico's economy includes fishing.,NOT ENOUGH INFO,
Régine Chassagne is Canadian.,SUPPORTS,
Régine Chassagne is Canadian.,SUPPORTS,
One style of the mandolin is the flat-backed dolphin.,NOT ENOUGH INFO,
One style of the mandolin is the flat-backed dolphin.,NOT ENOUGH INFO,
John McCain works in politics.,SUPPORTS,
John McCain works in politics.,SUPPORTS,
John McCain works in politics.,SUPPORTS,
John McCain works in politics.,SUPPORTS,
John McCain works in politics.,SUPPORTS,
John McCain works in politics.,SUPPORTS,
John McCain works in politics.,SUPPORTS,
John McCain works in politics.,SUPPORTS,
John McCain works in politics.,SUPPORTS,
John McCain works in politics.,SUPPORTS,
John McCain works in politics.,SUPPORTS,
John McCain works in politics.,SUPPORTS,
John McCain works in politics.,SUPPORTS,
John McCain works in politics.,SUPPORTS,
John McCain works in politics.,SUPPORTS,
John McCain works in politics.,SUPPORTS,
John McCain works in politics.,SUPPORTS,
John McCain works in politics.,SUPPORTS,
John McCain works in politics.,SUPPORTS,
Farrah Fawcett received an Emmy Award nomination for her role as a battered wife in the 1984 film The Burning Bed.,SUPPORTS,
"The Who's first single was ""My Generation"".",SUPPORTS,
Planet of the Apes (1968 film) had a script that underwent rewrites.,SUPPORTS,
Star vs. the Forces of Evil is a series.,SUPPORTS,
Star vs. the Forces of Evil is a series.,SUPPORTS,
Star vs. the Forces of Evil is a series.,SUPPORTS,
Star vs. the Forces of Evil is a series.,SUPPORTS,
Star vs. the Forces of Evil is a series.,SUPPORTS,
Star vs. the Forces of Evil is a series.,SUPPORTS,
Star vs. the Forces of Evil is a series.,SUPPORTS,
Galaxy Quest is a movie that is American.,SUPPORTS,
Friends with Benefits features actors.,SUPPORTS,
Friends with Benefits features actors.,SUPPORTS,
Glenn Close won the Tony Award for Best Actress in a Play in 1984.,REFUTES,
Glenn Close won the Tony Award for Best Actress in a Play in 1984.,REFUTES,
Indonesia's wilderness supports a variety of life including whales.,NOT ENOUGH INFO,
Zooey Deschanel performed.,SUPPORTS,
Zooey Deschanel performed.,SUPPORTS,
Seven Days in May stars an American.,SUPPORTS,
Seven Days in May stars an American.,SUPPORTS,
Seven Days in May stars an American.,SUPPORTS,
Seven Days in May stars an American.,SUPPORTS,
Winnipeg is home to several sports teams.,SUPPORTS,
Mark Zuckerberg co-founded a website.,SUPPORTS,
Mark Zuckerberg co-founded a website.,SUPPORTS,
Mark Zuckerberg co-founded a website.,SUPPORTS,
Rick and Morty was renewed for a fourth season in 2014.,REFUTES,
Rick and Morty was renewed for a fourth season in 2014.,REFUTES,
Another One Bites the Dust was written by a pianist.,NOT ENOUGH INFO,
Another One Bites the Dust was written by a pianist.,NOT ENOUGH INFO,
Another One Bites the Dust was written by a pianist.,NOT ENOUGH INFO,
Another One Bites the Dust was written by a pianist.,NOT ENOUGH INFO,
Another One Bites the Dust was written by a pianist.,NOT ENOUGH INFO,
Paul Walker acted in movies.,SUPPORTS,
Paul Walker acted in movies.,SUPPORTS,
Paul Walker acted in movies.,SUPPORTS,
Paul Walker acted in movies.,SUPPORTS,
Paul Walker acted in movies.,SUPPORTS,
Paul Walker acted in movies.,SUPPORTS,
Paul Walker acted in movies.,SUPPORTS,
Paul Walker acted in movies.,SUPPORTS,
Paul Walker acted in movies.,SUPPORTS,
Paul Walker acted in movies.,SUPPORTS,
Paul Walker acted in movies.,SUPPORTS,
Paul Walker acted in movies.,SUPPORTS,
Paul Walker acted in movies.,SUPPORTS,
Paul Walker acted in movies.,SUPPORTS,
Paul Walker acted in movies.,SUPPORTS,
Paul Walker acted in movies.,SUPPORTS,
Paul Walker acted in movies.,SUPPORTS,
Paul Walker acted in movies.,SUPPORTS,
Paul Walker acted in movies.,SUPPORTS,
Paul Walker acted in movies.,SUPPORTS,
Ready Player One won an award for best characters.,NOT ENOUGH INFO,
Chris Noth was nominated for the first Golden Globe Award.,NOT ENOUGH INFO,
Clint Eastwood was nominated for an award.,SUPPORTS,
Shonen Jump is published in a continent.,SUPPORTS,
Shonen Jump is published in a continent.,SUPPORTS,
Gilmore Girls is a Canadian show.,REFUTES,
"Honest sold 53,000 units in a week.",SUPPORTS,
"Honest sold 53,000 units in a week.",SUPPORTS,
"Honest sold 53,000 units in a week.",SUPPORTS,
Justin Timberlake is an American Idol.,NOT ENOUGH INFO,
"Since July 2012, Pranab Mukherjee has been in office.",SUPPORTS,
"Since July 2012, Pranab Mukherjee has been in office.",SUPPORTS,
"Anonymous represents 4chan users simultaneously existing as an anarchic, digitized global brain.",SUPPORTS,
"Anonymous represents 4chan users simultaneously existing as an anarchic, digitized global brain.",SUPPORTS,
"Anonymous represents 4chan users simultaneously existing as an anarchic, digitized global brain.",SUPPORTS,
"Anonymous represents 4chan users simultaneously existing as an anarchic, digitized global brain.",SUPPORTS,
San Francisco is in California.,SUPPORTS,
Israel located west of China.,NOT ENOUGH INFO,
Hulk lost over $245 million worldwide.,NOT ENOUGH INFO,
Laadla is exclusively an American film.,REFUTES,
Denzel Washington directed a film released on VHS.,NOT ENOUGH INFO,
George W. Bush received one of the lowest approval ratings - just 20% approval - during the 2008 financial crisis.,NOT ENOUGH INFO,
Lily Collins wrote for a U.S magazine that targets teen girls.,SUPPORTS,
Bangladesh has been affected by poverty.,SUPPORTS,
Bangladesh has been affected by poverty.,SUPPORTS,
Bangladesh has been affected by poverty.,SUPPORTS,
Bangladesh has been affected by poverty.,SUPPORTS,
Bangladesh has been affected by poverty.,SUPPORTS,
Lisa Lopes was a founding member of TLC.,SUPPORTS,
Lisa Lopes was a founding member of TLC.,SUPPORTS,
The Formula (1980 film) was directed by an American.,SUPPORTS,
The Formula (1980 film) was directed by an American.,SUPPORTS,
Janet Jackson's third album was released in February 1986.,SUPPORTS,
Transformers: The Last Knight's cast includes Tyrese Gibson.,SUPPORTS,
There are two television series Morena Baccarin was part of.,SUPPORTS,
There are two television series Morena Baccarin was part of.,SUPPORTS,
There are two television series Morena Baccarin was part of.,SUPPORTS,
There are two television series Morena Baccarin was part of.,SUPPORTS,
Naturi Naughton was born in the year of 1984.,SUPPORTS,
John Lennon owns the US Hot 100 chart.,NOT ENOUGH INFO,
Paul Pogba has won four nonconsecutive Serie A titles.,REFUTES,
Mel Gibson's name is Mel Colmcille Gerard Gibson.,SUPPORTS,
WALL-E is a Golden Globe Award winner.,SUPPORTS,
Generation X has no precise date for its cohort.,SUPPORTS,
Islam is incapable of being a religion.,REFUTES,
Islam is incapable of being a religion.,REFUTES,
Islam is incapable of being a religion.,REFUTES,
Jackie Chan has released an album.,SUPPORTS,
"Estimates of the number of species on Earth today vary widely, and most of those species have not been described.",SUPPORTS,
Larry Junstrom is an American citizen.,SUPPORTS,
Canada possesses a constitution.,SUPPORTS,
Canada possesses a constitution.,SUPPORTS,
Canada possesses a constitution.,SUPPORTS,
Canada possesses a constitution.,SUPPORTS,
Canada possesses a constitution.,SUPPORTS,
Canada possesses a constitution.,SUPPORTS,
Canada possesses a constitution.,SUPPORTS,
Canada possesses a constitution.,SUPPORTS,
Canada possesses a constitution.,SUPPORTS,
Canada possesses a constitution.,SUPPORTS,
Canada possesses a constitution.,SUPPORTS,
Canada possesses a constitution.,SUPPORTS,
Canada possesses a constitution.,SUPPORTS,
Canada possesses a constitution.,SUPPORTS,
Canada possesses a constitution.,SUPPORTS,
Sophie Turner acted in The Thirteenth Tale.,SUPPORTS,
The Renaissance is known for its cultural developments.,SUPPORTS,
The Renaissance is known for its cultural developments.,SUPPORTS,
Pluto is not relatively small.,REFUTES,
"Steve Buscemi has appeared in many films by the Coen Brothers, such as Fargo.",SUPPORTS,
Tyler Joseph is an ex-member of Twenty One Pilots.,REFUTES,
Selena Gomez has more followers than anyone else in the world.,SUPPORTS,
Big Boi is only a member of Norwegian metal bands.,REFUTES,
Big Boi is only a member of Norwegian metal bands.,REFUTES,
Priyanka Chopra was born in the 1900's.,SUPPORTS,
William Shatner lost two Emmy Awards.,NOT ENOUGH INFO,
Chris Pérez is a songwriter.,SUPPORTS,
Chris Pérez is a songwriter.,SUPPORTS,
"On March 27, 1963, Quentin Tarantino was born.",SUPPORTS,
Tate Ellington appeared in Quantico.,SUPPORTS,
Tate Ellington appeared in Quantico.,SUPPORTS,
The Evil Queen has been portrayed live by Jane Curtin.,NOT ENOUGH INFO,
Steven Knight is a British mailman.,NOT ENOUGH INFO,
Mr. Sunshine is from the Northern Hemisphere.,SUPPORTS,
Dolly Parton isn't an actress.,REFUTES,
Dolly Parton isn't an actress.,REFUTES,
The Amanda Show was the first female-created show on Nickelodeon.,REFUTES,
The 19th G7 summit only included Russia.,REFUTES,
Edward Norton has co-written for TV shows.,NOT ENOUGH INFO,
Ethiopia has bodies of water can be described as rivers.,SUPPORTS,
Ireland has relatively low-lying houses.,NOT ENOUGH INFO,
Ireland has relatively low-lying houses.,NOT ENOUGH INFO,
Ireland has relatively low-lying houses.,NOT ENOUGH INFO,
Ireland has relatively low-lying houses.,NOT ENOUGH INFO,
Roy Whiting murdered someone under the influence of alcohol.,NOT ENOUGH INFO,
Ted Kaczynski grew up in Texas.,REFUTES,
Ted Kaczynski grew up in Texas.,REFUTES,
Keith Urban has put out no fewer than nine studio records.,SUPPORTS,
Eminem has an album.,SUPPORTS,
Eminem has an album.,SUPPORTS,
Eminem has an album.,SUPPORTS,
Eminem has an album.,SUPPORTS,
Eminem has an album.,SUPPORTS,
Eminem has an album.,SUPPORTS,
Eminem has an album.,SUPPORTS,
Eminem has an album.,SUPPORTS,
Eminem has an album.,SUPPORTS,
Eminem has an album.,SUPPORTS,
Eminem has an album.,SUPPORTS,
The Connaught Tunnel was lined only with mud and sand.,REFUTES,
The Connaught Tunnel was lined only with mud and sand.,REFUTES,
Jennifer Aniston is not a businesswoman.,REFUTES,
Jennifer Aniston is not a businesswoman.,REFUTES,
Ilkhanate only contained Haiti.,REFUTES,
Ilkhanate only contained Haiti.,REFUTES,
Love & Friendship spotlights Chloë Sevigny.,NOT ENOUGH INFO,
Homeland is based on the classic BBC series Til Death Do Us Part.,REFUTES,
True Blood is a science-fiction television series.,REFUTES,
True Blood is a science-fiction television series.,REFUTES,
Jordan Knight is the lead singer of a band.,SUPPORTS,
Adam Driver has had supporting roles.,SUPPORTS,
Steve Coogan portrayed Bill Gates.,NOT ENOUGH INFO,
Thor: The Dark World is a movie.,SUPPORTS,
Thor: The Dark World is a movie.,SUPPORTS,
Thor: The Dark World is a movie.,SUPPORTS,
Thor: The Dark World is a movie.,SUPPORTS,
Thor: The Dark World is a movie.,SUPPORTS,
Thor: The Dark World is a movie.,SUPPORTS,
Thor: The Dark World is a movie.,SUPPORTS,
Thor: The Dark World is a movie.,SUPPORTS,
Thor: The Dark World is a movie.,SUPPORTS,
Thor: The Dark World is a movie.,SUPPORTS,
Thor: The Dark World is a movie.,SUPPORTS,
