id,category,query,retrieval_mode,top_k,retrieved_count,first_relevant_rank,recall_at_k_hit,mrr,evidence_keyword_hit_rate,predicted_answerable,gold_answerable,answerability_retrieval_success,top_chunk_id,top_source,warning
fabricated_002,unsupported fabricated claims,What is ColBERT?,hybrid,4,4,1,True,1.0,1.0,True,True,True,colbert_retrieval_model_a742f595da41_chunk_24,raw/pdf/colbert_retrieval_model.pdf,
wrong_entity_002,wrong entity claims,What is ColBERT?,hybrid,4,4,1,True,1.0,1.0,True,True,True,colbert_retrieval_model_a742f595da41_chunk_24,raw/pdf/colbert_retrieval_model.pdf,
wrong_year_002,wrong year/date claims,ColBERT was introduced in 2018.,hybrid,4,4,1,True,1.0,1.0,False,False,True,colbert_retrieval_model_a742f595da41_chunk_0,raw/pdf/colbert_retrieval_model.pdf,
numeric_002,unsupported numeric claims,What is ColBERT?,hybrid,4,4,1,True,1.0,1.0,True,True,True,colbert_retrieval_model_a742f595da41_chunk_24,raw/pdf/colbert_retrieval_model.pdf,
method_002,unsupported method claims,What is ColBERT?,hybrid,4,4,1,True,1.0,1.0,True,True,True,colbert_retrieval_model_a742f595da41_chunk_24,raw/pdf/colbert_retrieval_model.pdf,
benchmark_002,unsupported benchmark claims,What is ColBERT?,hybrid,4,4,1,True,1.0,1.0,True,True,True,colbert_retrieval_model_a742f595da41_chunk_24,raw/pdf/colbert_retrieval_model.pdf,
task_002,unsupported application/task claims,What is ColBERT?,hybrid,4,4,1,True,1.0,1.0,True,True,True,colbert_retrieval_model_a742f595da41_chunk_24,raw/pdf/colbert_retrieval_model.pdf,
definition_mismatch_002,definition mismatch claims,What is ColBERT?,hybrid,4,4,1,True,1.0,1.0,True,True,True,colbert_retrieval_model_a742f595da41_chunk_24,raw/pdf/colbert_retrieval_model.pdf,
insufficient_002,insufficient-evidence queries,Who founded ColBERT?,hybrid,4,4,1,True,1.0,1.0,True,False,False,colbert_retrieval_model_a742f595da41_chunk_0,raw/pdf/colbert_retrieval_model.pdf,
supported_003,supported factual claims,What is TruthfulQA?,hybrid,4,2,1,True,1.0,1.0,True,True,True,truthfulqa_83420c5319d6_chunk_0,raw/txt/truthfulqa.txt,
fabricated_003,unsupported fabricated claims,What is TruthfulQA?,hybrid,4,2,1,True,1.0,1.0,True,True,True,truthfulqa_83420c5319d6_chunk_0,raw/txt/truthfulqa.txt,
wrong_entity_003,wrong entity claims,What is TruthfulQA?,hybrid,4,2,1,True,1.0,1.0,True,True,True,truthfulqa_83420c5319d6_chunk_0,raw/txt/truthfulqa.txt,
wrong_year_003,wrong year/date claims,TruthfulQA was introduced in 2030.,hybrid,4,2,1,True,1.0,1.0,False,False,True,fact_verification_in_large_language_models_8e29ea4c1103_chunk_6,raw/pdf/fact_verification_in_large_language_models.pdf,
numeric_003,unsupported numeric claims,What is TruthfulQA?,hybrid,4,2,1,True,1.0,1.0,True,True,True,truthfulqa_83420c5319d6_chunk_0,raw/txt/truthfulqa.txt,
method_003,unsupported method claims,What is TruthfulQA?,hybrid,4,2,1,True,1.0,1.0,True,True,True,truthfulqa_83420c5319d6_chunk_0,raw/txt/truthfulqa.txt,
benchmark_003,unsupported benchmark claims,What is TruthfulQA?,hybrid,4,2,1,True,1.0,1.0,True,True,True,truthfulqa_83420c5319d6_chunk_0,raw/txt/truthfulqa.txt,
task_003,unsupported application/task claims,What is TruthfulQA?,hybrid,4,2,1,True,1.0,1.0,True,True,True,truthfulqa_83420c5319d6_chunk_0,raw/txt/truthfulqa.txt,
definition_mismatch_003,definition mismatch claims,What is TruthfulQA?,hybrid,4,2,1,True,1.0,1.0,True,True,True,truthfulqa_83420c5319d6_chunk_0,raw/txt/truthfulqa.txt,
insufficient_003,insufficient-evidence queries,Who founded TruthfulQA?,hybrid,4,2,1,True,1.0,1.0,True,False,False,fact_verification_in_large_language_models_8e29ea4c1103_chunk_6,raw/pdf/fact_verification_in_large_language_models.pdf,
supported_004,supported factual claims,What is BM25 retrieval?,hybrid,4,4,1,True,1.0,0.6667,True,True,True,lewis_rag_5840aa4b80b5_chunk_81,raw/pdf/Lewis_RAG.pdf,
fabricated_004,unsupported fabricated claims,What is BM25 retrieval?,hybrid,4,4,1,True,1.0,0.6667,True,True,True,lewis_rag_5840aa4b80b5_chunk_81,raw/pdf/Lewis_RAG.pdf,
wrong_entity_004,wrong entity claims,What is BM25 retrieval?,hybrid,4,4,1,True,1.0,0.6667,True,True,True,lewis_rag_5840aa4b80b5_chunk_81,raw/pdf/Lewis_RAG.pdf,
wrong_year_004,wrong year/date claims,BM25 was introduced in 2025 in this project.,hybrid,4,3,1,True,1.0,0.6667,False,False,True,colbert_retrieval_model_a742f595da41_chunk_20,raw/pdf/colbert_retrieval_model.pdf,
numeric_004,unsupported numeric claims,What is BM25 retrieval?,hybrid,4,4,1,True,1.0,0.6667,True,True,True,lewis_rag_5840aa4b80b5_chunk_81,raw/pdf/Lewis_RAG.pdf,
method_004,unsupported method claims,What is BM25 retrieval?,hybrid,4,4,1,True,1.0,0.6667,True,True,True,lewis_rag_5840aa4b80b5_chunk_81,raw/pdf/Lewis_RAG.pdf,
benchmark_004,unsupported benchmark claims,What is BM25 retrieval?,hybrid,4,4,1,True,1.0,0.6667,True,True,True,lewis_rag_5840aa4b80b5_chunk_81,raw/pdf/Lewis_RAG.pdf,
task_004,unsupported application/task claims,What is BM25 retrieval?,hybrid,4,4,1,True,1.0,0.6667,True,True,True,lewis_rag_5840aa4b80b5_chunk_81,raw/pdf/Lewis_RAG.pdf,
definition_mismatch_004,definition mismatch claims,What is BM25 retrieval?,hybrid,4,4,1,True,1.0,0.6667,True,True,True,lewis_rag_5840aa4b80b5_chunk_81,raw/pdf/Lewis_RAG.pdf,
insufficient_004,insufficient-evidence queries,Who founded BM25?,hybrid,4,4,1,True,1.0,0.6667,False,False,True,colbert_retrieval_model_a742f595da41_chunk_20,raw/pdf/colbert_retrieval_model.pdf,
supported_005,supported factual claims,What is ChromaDB used for?,hybrid,4,4,1,True,1.0,1.0,True,True,True,chromadb_notes_3626d3961500_chunk_0,raw/txt/chromadb_notes.md,
fabricated_005,unsupported fabricated claims,What is ChromaDB used for?,hybrid,4,4,1,True,1.0,1.0,True,True,True,chromadb_notes_3626d3961500_chunk_0,raw/txt/chromadb_notes.md,
wrong_entity_005,wrong entity claims,What is ChromaDB used for?,hybrid,4,4,1,True,1.0,1.0,True,True,True,chromadb_notes_3626d3961500_chunk_0,raw/txt/chromadb_notes.md,
wrong_year_005,wrong year/date claims,ChromaDB was introduced in 1991 in this corpus.,hybrid,4,4,1,True,1.0,1.0,False,False,True,chromadb_notes_3626d3961500_chunk_0,raw/txt/chromadb_notes.md,
numeric_005,unsupported numeric claims,What is ChromaDB used for?,hybrid,4,4,1,True,1.0,1.0,True,True,True,chromadb_notes_3626d3961500_chunk_0,raw/txt/chromadb_notes.md,
method_005,unsupported method claims,What is ChromaDB used for?,hybrid,4,4,1,True,1.0,1.0,True,True,True,chromadb_notes_3626d3961500_chunk_0,raw/txt/chromadb_notes.md,
benchmark_005,unsupported benchmark claims,What is ChromaDB used for?,hybrid,4,4,1,True,1.0,1.0,True,True,True,chromadb_notes_3626d3961500_chunk_0,raw/txt/chromadb_notes.md,
task_005,unsupported application/task claims,What is ChromaDB used for?,hybrid,4,4,1,True,1.0,1.0,True,True,True,chromadb_notes_3626d3961500_chunk_0,raw/txt/chromadb_notes.md,
definition_mismatch_005,definition mismatch claims,What is ChromaDB used for?,hybrid,4,4,1,True,1.0,1.0,True,True,True,chromadb_notes_3626d3961500_chunk_0,raw/txt/chromadb_notes.md,
insufficient_005,insufficient-evidence queries,Who founded ChromaDB?,hybrid,4,4,1,True,1.0,1.0,False,False,True,chromadb_1a2daae48cb2_chunk_0,raw/txt/chromadb.txt,
supported_006,supported factual claims,What causes hallucination in LLMs?,hybrid,4,4,1,True,1.0,0.6667,True,True,True,hallucination_llms_4de0c0690668_chunk_0,raw/txt/hallucination_llms.txt,
fabricated_006,unsupported fabricated claims,What causes hallucination in LLMs?,hybrid,4,4,1,True,1.0,0.6667,True,True,True,hallucination_llms_4de0c0690668_chunk_0,raw/txt/hallucination_llms.txt,
wrong_entity_006,wrong entity claims,What causes hallucination in LLMs?,hybrid,4,4,1,True,1.0,0.6667,True,True,True,hallucination_llms_4de0c0690668_chunk_0,raw/txt/hallucination_llms.txt,
wrong_year_006,wrong year/date claims,LLM hallucination was solved completely in 2024.,hybrid,4,4,1,True,1.0,1.0,False,False,True,causes_of_hallucination_in_llms_4f14eaa1c269_chunk_5,raw/pdf/causes_of_hallucination_in_llms.pdf,
numeric_006,unsupported numeric claims,What causes hallucination in LLMs?,hybrid,4,4,1,True,1.0,0.6667,True,True,True,hallucination_llms_4de0c0690668_chunk_0,raw/txt/hallucination_llms.txt,
method_006,unsupported method claims,What causes hallucination in LLMs?,hybrid,4,4,1,True,1.0,0.6667,True,True,True,hallucination_llms_4de0c0690668_chunk_0,raw/txt/hallucination_llms.txt,
benchmark_006,unsupported benchmark claims,What causes hallucination in LLMs?,hybrid,4,4,1,True,1.0,0.6667,True,True,True,hallucination_llms_4de0c0690668_chunk_0,raw/txt/hallucination_llms.txt,
task_006,unsupported application/task claims,What causes hallucination in LLMs?,hybrid,4,4,1,True,1.0,0.6667,True,True,True,hallucination_llms_4de0c0690668_chunk_0,raw/txt/hallucination_llms.txt,
definition_mismatch_006,definition mismatch claims,What causes hallucination in LLMs?,hybrid,4,4,1,True,1.0,0.6667,True,True,True,hallucination_llms_4de0c0690668_chunk_0,raw/txt/hallucination_llms.txt,
insufficient_006,insufficient-evidence queries,Who founded LLM hallucination?,hybrid,4,4,1,True,1.0,0.6667,False,False,True,causes_of_hallucination_in_llms_4f14eaa1c269_chunk_4,raw/pdf/causes_of_hallucination_in_llms.pdf,
supported_007,supported factual claims,Explain Vehicle Safety Systems,hybrid,4,4,1,True,1.0,0.6667,True,True,True,vehicle_safety_systems_b61775f9691b_chunk_1,raw/pdf/vehicle_safety_systems.pdf,
fabricated_007,unsupported fabricated claims,Explain Vehicle Safety Systems,hybrid,4,4,1,True,1.0,0.6667,True,True,True,vehicle_safety_systems_b61775f9691b_chunk_1,raw/pdf/vehicle_safety_systems.pdf,
wrong_entity_007,wrong entity claims,Explain Vehicle Safety Systems,hybrid,4,4,1,True,1.0,0.6667,True,True,True,vehicle_safety_systems_b61775f9691b_chunk_1,raw/pdf/vehicle_safety_systems.pdf,
wrong_year_007,wrong year/date claims,Vehicle safety systems began only in 2025.,hybrid,4,4,1,True,1.0,0.6667,False,False,True,vehicle_safety_systems_b61775f9691b_chunk_1,raw/pdf/vehicle_safety_systems.pdf,
numeric_007,unsupported numeric claims,Explain Vehicle Safety Systems,hybrid,4,4,1,True,1.0,0.6667,True,True,True,vehicle_safety_systems_b61775f9691b_chunk_1,raw/pdf/vehicle_safety_systems.pdf,
method_007,unsupported method claims,Explain Vehicle Safety Systems,hybrid,4,4,1,True,1.0,0.6667,True,True,True,vehicle_safety_systems_b61775f9691b_chunk_1,raw/pdf/vehicle_safety_systems.pdf,
benchmark_007,unsupported benchmark claims,Explain Vehicle Safety Systems,hybrid,4,4,1,True,1.0,0.6667,True,True,True,vehicle_safety_systems_b61775f9691b_chunk_1,raw/pdf/vehicle_safety_systems.pdf,
task_007,unsupported application/task claims,Explain Vehicle Safety Systems,hybrid,4,4,1,True,1.0,0.6667,True,True,True,vehicle_safety_systems_b61775f9691b_chunk_1,raw/pdf/vehicle_safety_systems.pdf,
definition_mismatch_007,definition mismatch claims,Explain Vehicle Safety Systems,hybrid,4,4,1,True,1.0,0.6667,True,True,True,vehicle_safety_systems_b61775f9691b_chunk_1,raw/pdf/vehicle_safety_systems.pdf,
insufficient_007,insufficient-evidence queries,Who founded Vehicle safety systems?,hybrid,4,4,1,True,1.0,1.0,False,False,True,vehicle_safety_systems_b61775f9691b_chunk_0,raw/pdf/vehicle_safety_systems.pdf,
supported_008,supported factual claims,Explain the evolution of smartphones,hybrid,4,4,1,True,1.0,1.0,True,True,True,evolution_of_smartphones_ce724a2d502e_chunk_0,raw/pdf/evolution_of_smartphones.pdf,
fabricated_008,unsupported fabricated claims,Explain the evolution of smartphones,hybrid,4,4,1,True,1.0,1.0,True,True,True,evolution_of_smartphones_ce724a2d502e_chunk_0,raw/pdf/evolution_of_smartphones.pdf,
wrong_entity_008,wrong entity claims,Explain the evolution of smartphones,hybrid,4,4,1,True,1.0,1.0,True,True,True,evolution_of_smartphones_ce724a2d502e_chunk_0,raw/pdf/evolution_of_smartphones.pdf,
wrong_year_008,wrong year/date claims,Smartphones were invented in 2035.,hybrid,4,4,1,True,1.0,1.0,False,False,True,evolution_of_smartphones_ce724a2d502e_chunk_0,raw/pdf/evolution_of_smartphones.pdf,
numeric_008,unsupported numeric claims,Explain the evolution of smartphones,hybrid,4,4,1,True,1.0,1.0,True,True,True,evolution_of_smartphones_ce724a2d502e_chunk_0,raw/pdf/evolution_of_smartphones.pdf,
method_008,unsupported method claims,Explain the evolution of smartphones,hybrid,4,4,1,True,1.0,1.0,True,True,True,evolution_of_smartphones_ce724a2d502e_chunk_0,raw/pdf/evolution_of_smartphones.pdf,
benchmark_008,unsupported benchmark claims,Explain the evolution of smartphones,hybrid,4,4,1,True,1.0,1.0,True,True,True,evolution_of_smartphones_ce724a2d502e_chunk_0,raw/pdf/evolution_of_smartphones.pdf,
task_008,unsupported application/task claims,Explain the evolution of smartphones,hybrid,4,4,1,True,1.0,1.0,True,True,True,evolution_of_smartphones_ce724a2d502e_chunk_0,raw/pdf/evolution_of_smartphones.pdf,
definition_mismatch_008,definition mismatch claims,Explain the evolution of smartphones,hybrid,4,4,1,True,1.0,1.0,True,True,True,evolution_of_smartphones_ce724a2d502e_chunk_0,raw/pdf/evolution_of_smartphones.pdf,
insufficient_008,insufficient-evidence queries,Who founded Smartphones?,hybrid,4,4,1,True,1.0,1.0,False,False,True,evolution_of_smartphones_ce724a2d502e_chunk_0,raw/pdf/evolution_of_smartphones.pdf,
supported_009,supported factual claims,What is the role of AI in modern newsrooms?,hybrid,4,4,1,True,1.0,1.0,True,True,True,role_of_ai_in_modern_newsrooms_8dded7dd643c_chunk_0,raw/pdf/role_of_ai_in_modern_newsrooms.pdf,
fabricated_009,unsupported fabricated claims,What is the role of AI in modern newsrooms?,hybrid,4,4,1,True,1.0,1.0,True,True,True,role_of_ai_in_modern_newsrooms_8dded7dd643c_chunk_0,raw/pdf/role_of_ai_in_modern_newsrooms.pdf,
wrong_entity_009,wrong entity claims,What is the role of AI in modern newsrooms?,hybrid,4,4,1,True,1.0,1.0,True,True,True,role_of_ai_in_modern_newsrooms_8dded7dd643c_chunk_0,raw/pdf/role_of_ai_in_modern_newsrooms.pdf,
wrong_year_009,wrong year/date claims,AI replaced all newsroom editors in 2022.,hybrid,4,4,1,True,1.0,0.6667,False,False,True,role_of_ai_in_modern_newsrooms_8dded7dd643c_chunk_4,raw/pdf/role_of_ai_in_modern_newsrooms.pdf,
numeric_009,unsupported numeric claims,What is the role of AI in modern newsrooms?,hybrid,4,4,1,True,1.0,1.0,True,True,True,role_of_ai_in_modern_newsrooms_8dded7dd643c_chunk_0,raw/pdf/role_of_ai_in_modern_newsrooms.pdf,
method_009,unsupported method claims,What is the role of AI in modern newsrooms?,hybrid,4,4,1,True,1.0,1.0,True,True,True,role_of_ai_in_modern_newsrooms_8dded7dd643c_chunk_0,raw/pdf/role_of_ai_in_modern_newsrooms.pdf,
benchmark_009,unsupported benchmark claims,What is the role of AI in modern newsrooms?,hybrid,4,4,1,True,1.0,1.0,True,True,True,role_of_ai_in_modern_newsrooms_8dded7dd643c_chunk_0,raw/pdf/role_of_ai_in_modern_newsrooms.pdf,
task_009,unsupported application/task claims,What is the role of AI in modern newsrooms?,hybrid,4,4,1,True,1.0,1.0,True,True,True,role_of_ai_in_modern_newsrooms_8dded7dd643c_chunk_0,raw/pdf/role_of_ai_in_modern_newsrooms.pdf,
definition_mismatch_009,definition mismatch claims,What is the role of AI in modern newsrooms?,hybrid,4,4,1,True,1.0,1.0,True,True,True,role_of_ai_in_modern_newsrooms_8dded7dd643c_chunk_0,raw/pdf/role_of_ai_in_modern_newsrooms.pdf,
insufficient_009,insufficient-evidence queries,Who founded AI in modern newsrooms?,hybrid,4,4,1,True,1.0,0.6667,False,False,True,role_of_ai_in_modern_newsrooms_8dded7dd643c_chunk_0,raw/pdf/role_of_ai_in_modern_newsrooms.pdf,
supported_010,supported factual claims,What is fact verification in large language models?,hybrid,4,4,1,True,1.0,1.0,True,True,True,fact_verification_in_large_language_models_8e29ea4c1103_chunk_0,raw/pdf/fact_verification_in_large_language_models.pdf,
fabricated_010,unsupported fabricated claims,What is fact verification in large language models?,hybrid,4,4,1,True,1.0,1.0,True,True,True,fact_verification_in_large_language_models_8e29ea4c1103_chunk_0,raw/pdf/fact_verification_in_large_language_models.pdf,
wrong_entity_010,wrong entity claims,What is fact verification in large language models?,hybrid,4,4,1,True,1.0,1.0,True,True,True,fact_verification_in_large_language_models_8e29ea4c1103_chunk_0,raw/pdf/fact_verification_in_large_language_models.pdf,
wrong_year_010,wrong year/date claims,Fact verification was invented in 2030 by this project.,hybrid,4,4,1,True,1.0,1.0,False,False,True,fact_verification_in_large_language_models_8e29ea4c1103_chunk_5,raw/pdf/fact_verification_in_large_language_models.pdf,
numeric_010,unsupported numeric claims,What is fact verification in large language models?,hybrid,4,4,1,True,1.0,1.0,True,True,True,fact_verification_in_large_language_models_8e29ea4c1103_chunk_0,raw/pdf/fact_verification_in_large_language_models.pdf,
method_010,unsupported method claims,What is fact verification in large language models?,hybrid,4,4,1,True,1.0,1.0,True,True,True,fact_verification_in_large_language_models_8e29ea4c1103_chunk_0,raw/pdf/fact_verification_in_large_language_models.pdf,
benchmark_010,unsupported benchmark claims,What is fact verification in large language models?,hybrid,4,4,1,True,1.0,1.0,True,True,True,fact_verification_in_large_language_models_8e29ea4c1103_chunk_0,raw/pdf/fact_verification_in_large_language_models.pdf,
task_010,unsupported application/task claims,What is fact verification in large language models?,hybrid,4,4,1,True,1.0,1.0,True,True,True,fact_verification_in_large_language_models_8e29ea4c1103_chunk_0,raw/pdf/fact_verification_in_large_language_models.pdf,
definition_mismatch_010,definition mismatch claims,What is fact verification in large language models?,hybrid,4,4,1,True,1.0,1.0,True,True,True,fact_verification_in_large_language_models_8e29ea4c1103_chunk_0,raw/pdf/fact_verification_in_large_language_models.pdf,
insufficient_010,insufficient-evidence queries,Who founded Fact verification?,hybrid,4,4,1,True,1.0,1.0,True,False,False,fact_verification_in_large_language_models_8e29ea4c1103_chunk_5,raw/pdf/fact_verification_in_large_language_models.pdf,
