id,category,query,raw_answer,corrected_answer,raw_unsupported_count,corrected_unsupported_count,raw_critical_unsupported_count,corrected_critical_unsupported_count,raw_support_ratio,corrected_support_ratio,hallucination_reduction,support_improvement,correction_success,unsafe_correction,no_change,malformed_correction,correction_status
wrong_entity_002,wrong entity claims,What is ColBERT?,ColBERT was introduced by Patrick Lewis in 2020.,Insufficient evidence available in the knowledge base.,1,0,1,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
wrong_year_002,wrong year/date claims,ColBERT was introduced in 2018.,ColBERT was introduced in 2018.,Insufficient evidence available in the knowledge base.,1,0,1,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
numeric_002,unsupported numeric claims,What is ColBERT?,ColBERT is a neural retrieval model that uses contextualized late interaction over BERT. ColBERT requires exactly 500 query embeddings for each token.,ColBERT is a neural retrieval model that uses contextualized late interaction over BERT.,1,0,0,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
method_002,unsupported method claims,What is ColBERT?,ColBERT is a neural retrieval model that uses contextualized late interaction over BERT. ColBERT uses collaborative filtering to recommend products.,ColBERT is a neural retrieval model that uses contextualized late interaction over BERT.,1,0,1,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
benchmark_002,unsupported benchmark claims,What is ColBERT?,ColBERT is a neural retrieval model that uses contextualized late interaction over BERT. ColBERT is always faster and more accurate than all sparse retrievers.,ColBERT is a neural retrieval model that uses contextualized late interaction over BERT.,1,0,0,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
task_002,unsupported application/task claims,What is ColBERT?,ColBERT is a neural retrieval model that uses contextualized late interaction over BERT. ColBERT is designed for product review generation and e-commerce ranking.,ColBERT is a neural retrieval model that uses contextualized late interaction over BERT.,1,0,1,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
definition_mismatch_002,definition mismatch claims,What is ColBERT?,ColBERT means Collaborative BERT.,Insufficient evidence available in the knowledge base.,1,0,1,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
insufficient_002,insufficient-evidence queries,Who founded ColBERT?,ColBERT was founded by Ada Lovelace in 2020.,Insufficient evidence available in the knowledge base.,1,0,0,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
supported_003,supported factual claims,What is TruthfulQA?,TruthfulQA is a benchmark for measuring whether language models give truthful answers.,TruthfulQA is a benchmark for measuring whether language models give truthful answers.,0,0,0,0,0.0,0.0,0.0,0.0,False,False,True,False,no_change
fabricated_003,unsupported fabricated claims,What is TruthfulQA?,TruthfulQA is a benchmark for measuring whether language models give truthful answers. TruthfulQA is a vector database for storing embeddings.,Insufficient evidence available in the knowledge base.,1,0,0,0,0.0,0.0,0.5,-0.25,False,False,False,False,partially_improved
wrong_entity_003,wrong entity claims,What is TruthfulQA?,TruthfulQA was created by Omar Khattab for late interaction retrieval.,Insufficient evidence available in the knowledge base.,1,0,0,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
wrong_year_003,wrong year/date claims,TruthfulQA was introduced in 2030.,TruthfulQA was introduced in 2030.,Insufficient evidence available in the knowledge base.,1,0,1,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
numeric_003,unsupported numeric claims,What is TruthfulQA?,TruthfulQA is a benchmark for measuring whether language models give truthful answers. TruthfulQA contains exactly 10 questions in the project corpus.,Insufficient evidence available in the knowledge base.,1,0,0,0,0.0,0.0,0.5,-0.25,False,False,False,False,partially_improved
method_003,unsupported method claims,What is TruthfulQA?,TruthfulQA is a benchmark for measuring whether language models give truthful answers. TruthfulQA fine-tunes retrievers with human feedback in this system.,Insufficient evidence available in the knowledge base.,1,0,1,0,0.0,0.0,0.5,-0.25,False,False,False,False,partially_improved
benchmark_003,unsupported benchmark claims,What is TruthfulQA?,TruthfulQA is a benchmark for measuring whether language models give truthful answers. TruthfulQA reports state-of-the-art results on an unsupported private benchmark.,Insufficient evidence available in the knowledge base.,1,0,0,0,0.0,0.0,0.5,-0.25,False,False,False,False,partially_improved
task_003,unsupported application/task claims,What is TruthfulQA?,TruthfulQA is a benchmark for measuring whether language models give truthful answers. TruthfulQA is an image recognition benchmark for autonomous vehicles.,Insufficient evidence available in the knowledge base.,1,0,0,0,0.0,0.0,0.5,-0.25,False,False,False,False,partially_improved
definition_mismatch_003,definition mismatch claims,What is TruthfulQA?,TruthfulQA is a vector database for storing embeddings.,Insufficient evidence available in the knowledge base.,1,0,0,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
insufficient_003,insufficient-evidence queries,Who founded TruthfulQA?,TruthfulQA was founded by Ada Lovelace in 2020.,Insufficient evidence available in the knowledge base.,1,0,1,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
supported_004,supported factual claims,What is BM25 retrieval?,BM25 is a sparse lexical retrieval method based on term matching.,BM25 is a sparse lexical retrieval method based on term matching.,0,0,0,0,1.0,1.0,0.0,0.0,False,False,True,False,no_change
fabricated_004,unsupported fabricated claims,What is BM25 retrieval?,BM25 is a sparse lexical retrieval method based on term matching. BM25 is a dense transformer encoder.,BM25 is a sparse lexical retrieval method based on term matching.,1,0,0,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
wrong_entity_004,wrong entity claims,What is BM25 retrieval?,BM25 was invented by Patrick Lewis for RAG in 2020.,Insufficient evidence available in the knowledge base.,1,0,1,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
wrong_year_004,wrong year/date claims,BM25 was introduced in 2025 in this project.,BM25 was introduced in 2025 in this project.,Insufficient evidence available in the knowledge base.,1,0,1,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
numeric_004,unsupported numeric claims,What is BM25 retrieval?,BM25 is a sparse lexical retrieval method based on term matching. BM25 always returns exactly 25 documents.,BM25 is a sparse lexical retrieval method based on term matching.,1,0,0,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
method_004,unsupported method claims,What is BM25 retrieval?,BM25 is a sparse lexical retrieval method based on term matching. BM25 fine-tunes BERT weights during retrieval.,BM25 is a sparse lexical retrieval method based on term matching.,1,0,1,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
benchmark_004,unsupported benchmark claims,What is BM25 retrieval?,BM25 is a sparse lexical retrieval method based on term matching. BM25 always beats dense retrieval on every benchmark.,BM25 is a sparse lexical retrieval method based on term matching.,1,0,0,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
task_004,unsupported application/task claims,What is BM25 retrieval?,BM25 is a sparse lexical retrieval method based on term matching. BM25 is a dialogue generation system in this project.,BM25 is a sparse lexical retrieval method based on term matching.,1,0,0,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
definition_mismatch_004,definition mismatch claims,What is BM25 retrieval?,BM25 is a dense transformer encoder.,Insufficient evidence available in the knowledge base.,1,0,0,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
insufficient_004,insufficient-evidence queries,Who founded BM25?,BM25 was founded by Ada Lovelace in 2020.,Insufficient evidence available in the knowledge base.,1,0,1,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
supported_005,supported factual claims,What is ChromaDB used for?,ChromaDB stores embeddings for similarity-based retrieval.,Insufficient evidence available in the knowledge base.,1,0,0,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
fabricated_005,unsupported fabricated claims,What is ChromaDB used for?,ChromaDB stores embeddings for similarity-based retrieval. ChromaDB is a benchmark for truthful question answering.,Insufficient evidence available in the knowledge base.,2,0,0,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
wrong_entity_005,wrong entity claims,What is ChromaDB used for?,ChromaDB was founded by Patrick Lewis and colleagues for RAG.,Insufficient evidence available in the knowledge base.,1,0,0,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
wrong_year_005,wrong year/date claims,ChromaDB was introduced in 1991 in this corpus.,ChromaDB was introduced in 1991 in this corpus.,Insufficient evidence available in the knowledge base.,1,0,1,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
numeric_005,unsupported numeric claims,What is ChromaDB used for?,ChromaDB stores embeddings for similarity-based retrieval. ChromaDB requires exactly 4096 collections for RAG.,Insufficient evidence available in the knowledge base.,2,0,0,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
method_005,unsupported method claims,What is ChromaDB used for?,ChromaDB stores embeddings for similarity-based retrieval. ChromaDB trains large language models from scratch.,Insufficient evidence available in the knowledge base.,2,0,0,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
benchmark_005,unsupported benchmark claims,What is ChromaDB used for?,ChromaDB stores embeddings for similarity-based retrieval. ChromaDB reports state-of-the-art results on an unsupported private benchmark.,Insufficient evidence available in the knowledge base.,2,0,0,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
task_005,unsupported application/task claims,What is ChromaDB used for?,ChromaDB stores embeddings for similarity-based retrieval. ChromaDB performs sentiment analysis and machine translation in this project.,Insufficient evidence available in the knowledge base.,2,0,1,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
definition_mismatch_005,definition mismatch claims,What is ChromaDB used for?,ChromaDB is a benchmark for truthful question answering.,Insufficient evidence available in the knowledge base.,1,0,0,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
insufficient_005,insufficient-evidence queries,Who founded ChromaDB?,ChromaDB was founded by Ada Lovelace in 2020.,Insufficient evidence available in the knowledge base.,1,0,1,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
supported_006,supported factual claims,What causes hallucination in LLMs?,LLM hallucinations can occur when generated text is plausible but unsupported by evidence.,LLM hallucinations can occur when generated text is plausible but unsupported by evidence.,0,0,0,0,1.0,1.0,0.0,0.0,False,False,True,False,no_change
fabricated_006,unsupported fabricated claims,What causes hallucination in LLMs?,LLM hallucinations can occur when generated text is plausible but unsupported by evidence. LLM hallucination is a hardware failure in the GPU fan.,LLM hallucinations can occur when generated text is plausible but unsupported by evidence.,1,0,0,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
wrong_entity_006,wrong entity claims,What causes hallucination in LLMs?,LLM hallucinations were introduced by ChromaDB as a vector database feature.,Insufficient evidence available in the knowledge base.,1,0,0,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
wrong_year_006,wrong year/date claims,LLM hallucination was solved completely in 2024.,LLM hallucination was solved completely in 2024.,Insufficient evidence available in the knowledge base.,1,0,0,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
numeric_006,unsupported numeric claims,What causes hallucination in LLMs?,LLM hallucinations can occur when generated text is plausible but unsupported by evidence. Every hallucination has exactly three unsupported words.,LLM hallucinations can occur when generated text is plausible but unsupported by evidence.,1,0,0,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
method_006,unsupported method claims,What causes hallucination in LLMs?,LLM hallucinations can occur when generated text is plausible but unsupported by evidence. Hallucination detection only uses grammar checking in this system.,LLM hallucinations can occur when generated text is plausible but unsupported by evidence.,1,0,0,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
benchmark_006,unsupported benchmark claims,What causes hallucination in LLMs?,LLM hallucinations can occur when generated text is plausible but unsupported by evidence. Hallucination detection eliminates all errors with 100 percent accuracy.,LLM hallucinations can occur when generated text is plausible but unsupported by evidence.,1,0,0,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
task_006,unsupported application/task claims,What causes hallucination in LLMs?,LLM hallucinations can occur when generated text is plausible but unsupported by evidence. Hallucination detection is an image segmentation task in this project.,LLM hallucinations can occur when generated text is plausible but unsupported by evidence.,1,0,0,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
definition_mismatch_006,definition mismatch claims,What causes hallucination in LLMs?,LLM hallucination is a hardware failure in the GPU fan.,Insufficient evidence available in the knowledge base.,1,0,0,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
insufficient_006,insufficient-evidence queries,Who founded LLM hallucination?,LLM hallucination was founded by Ada Lovelace in 2020.,Insufficient evidence available in the knowledge base.,1,0,1,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
supported_007,supported factual claims,Explain Vehicle Safety Systems,Vehicle safety systems reduce risk during driving through active and passive technologies.,Vehicle safety systems reduce risk during driving through active and passive technologies.,0,0,0,0,1.0,1.0,0.0,0.0,False,False,True,False,no_change
fabricated_007,unsupported fabricated claims,Explain Vehicle Safety Systems,Vehicle safety systems reduce risk during driving through active and passive technologies. Vehicle safety systems are only used in Formula 1 cars.,Vehicle safety systems reduce risk during driving through active and passive technologies.,1,0,0,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
wrong_entity_007,wrong entity claims,Explain Vehicle Safety Systems,Vehicle safety systems were invented by Patrick Lewis for RAG.,Insufficient evidence available in the knowledge base.,1,0,0,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
wrong_year_007,wrong year/date claims,Vehicle safety systems began only in 2025.,Vehicle safety systems began only in 2025.,Insufficient evidence available in the knowledge base.,1,0,1,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
numeric_007,unsupported numeric claims,Explain Vehicle Safety Systems,Vehicle safety systems reduce risk during driving through active and passive technologies. Vehicle safety systems require exactly 12 airbags in every vehicle.,Vehicle safety systems reduce risk during driving through active and passive technologies.,1,0,0,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
method_007,unsupported method claims,Explain Vehicle Safety Systems,Vehicle safety systems reduce risk during driving through active and passive technologies. Vehicle safety systems fine-tune a generator model on crash reports for each query.,Vehicle safety systems reduce risk during driving through active and passive technologies.,1,0,1,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
benchmark_007,unsupported benchmark claims,Explain Vehicle Safety Systems,Vehicle safety systems reduce risk during driving through active and passive technologies. Vehicle safety systems reports state-of-the-art results on an unsupported private benchmark.,Vehicle safety systems reduce risk during driving through active and passive technologies.,1,0,0,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
task_007,unsupported application/task claims,Explain Vehicle Safety Systems,Vehicle safety systems reduce risk during driving through active and passive technologies. Vehicle safety systems are a text classification benchmark in this corpus.,Vehicle safety systems reduce risk during driving through active and passive technologies.,1,0,1,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
definition_mismatch_007,definition mismatch claims,Explain Vehicle Safety Systems,Vehicle safety systems are only used in Formula 1 cars.,Insufficient evidence available in the knowledge base.,1,0,0,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
insufficient_007,insufficient-evidence queries,Who founded Vehicle safety systems?,Vehicle safety systems was founded by Ada Lovelace in 2020.,Insufficient evidence available in the knowledge base.,1,0,1,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
supported_008,supported factual claims,Explain the evolution of smartphones,Smartphones evolved from mobile phones into internet-connected computing devices.,Smartphones evolved from mobile phones into internet-connected computing devices.,0,0,0,0,1.0,1.0,0.0,0.0,False,False,True,False,no_change
fabricated_008,unsupported fabricated claims,Explain the evolution of smartphones,Smartphones evolved from mobile phones into internet-connected computing devices. The first smartphone was released in 2025.,Smartphones evolved from mobile phones into internet-connected computing devices.,1,0,1,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
wrong_entity_008,wrong entity claims,Explain the evolution of smartphones,Smartphones were introduced by Omar Khattab as ColBERT devices.,Insufficient evidence available in the knowledge base.,1,0,0,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
wrong_year_008,wrong year/date claims,Smartphones were invented in 2035.,Smartphones were invented in 2035.,Insufficient evidence available in the knowledge base.,1,0,1,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
numeric_008,unsupported numeric claims,Explain the evolution of smartphones,Smartphones evolved from mobile phones into internet-connected computing devices. Smartphones must contain exactly 9 cameras to be considered modern.,Smartphones evolved from mobile phones into internet-connected computing devices.,1,0,0,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
method_008,unsupported method claims,Explain the evolution of smartphones,Smartphones evolved from mobile phones into internet-connected computing devices. Smartphones use RRF to fine-tune language models in this project.,Smartphones evolved from mobile phones into internet-connected computing devices.,1,0,1,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
benchmark_008,unsupported benchmark claims,Explain the evolution of smartphones,Smartphones evolved from mobile phones into internet-connected computing devices. Every smartphone always outperforms every desktop computer.,Smartphones evolved from mobile phones into internet-connected computing devices.,1,0,1,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
task_008,unsupported application/task claims,Explain the evolution of smartphones,Smartphones evolved from mobile phones into internet-connected computing devices. Smartphone evolution is a benchmark for NLI contradiction detection.,Smartphones evolved from mobile phones into internet-connected computing devices.,1,0,0,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
definition_mismatch_008,definition mismatch claims,Explain the evolution of smartphones,The first smartphone was released in 2025.,Insufficient evidence available in the knowledge base.,1,0,1,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
insufficient_008,insufficient-evidence queries,Who founded Smartphones?,Smartphones was founded by Ada Lovelace in 2020.,Insufficient evidence available in the knowledge base.,1,0,1,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
supported_009,supported factual claims,What is the role of AI in modern newsrooms?,"AI can assist newsrooms with summarization, transcription, search, and content recommendation.","AI can assist newsrooms with summarization, transcription, search, and content recommendation.",0,0,0,0,1.0,1.0,0.0,0.0,False,False,True,False,no_change
fabricated_009,unsupported fabricated claims,What is the role of AI in modern newsrooms?,"AI can assist newsrooms with summarization, transcription, search, and content recommendation. AI fully replaces human editors in all modern newsrooms.","AI can assist newsrooms with summarization, transcription, search, and content recommendation.",1,0,0,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
wrong_entity_009,wrong entity claims,What is the role of AI in modern newsrooms?,AI in newsrooms was introduced by Max Verstappen for Formula 1 reporting.,Insufficient evidence available in the knowledge base.,1,0,1,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
wrong_year_009,wrong year/date claims,AI replaced all newsroom editors in 2022.,AI replaced all newsroom editors in 2022.,Insufficient evidence available in the knowledge base.,1,0,0,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
numeric_009,unsupported numeric claims,What is the role of AI in modern newsrooms?,"AI can assist newsrooms with summarization, transcription, search, and content recommendation. AI must write exactly 80 percent of every newsroom article.","AI can assist newsrooms with summarization, transcription, search, and content recommendation.",1,0,0,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
method_009,unsupported method claims,What is the role of AI in modern newsrooms?,"AI can assist newsrooms with summarization, transcription, search, and content recommendation. AI newsrooms train ChromaDB from scratch on every article.","AI can assist newsrooms with summarization, transcription, search, and content recommendation.",1,0,0,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
benchmark_009,unsupported benchmark claims,What is the role of AI in modern newsrooms?,"AI can assist newsrooms with summarization, transcription, search, and content recommendation. AI in modern newsrooms reports state-of-the-art results on an unsupported private benchmark.","AI can assist newsrooms with summarization, transcription, search, and content recommendation.",1,0,0,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
task_009,unsupported application/task claims,What is the role of AI in modern newsrooms?,"AI can assist newsrooms with summarization, transcription, search, and content recommendation. AI in newsrooms is a vehicle safety benchmark in this corpus.","AI can assist newsrooms with summarization, transcription, search, and content recommendation.",1,0,0,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
definition_mismatch_009,definition mismatch claims,What is the role of AI in modern newsrooms?,AI fully replaces human editors in all modern newsrooms.,Insufficient evidence available in the knowledge base.,1,0,0,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
insufficient_009,insufficient-evidence queries,Who founded AI in modern newsrooms?,AI in modern newsrooms was founded by Ada Lovelace in 2020.,Insufficient evidence available in the knowledge base.,1,0,1,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
supported_010,supported factual claims,What is fact verification in large language models?,Fact verification checks whether generated claims are supported by evidence.,Fact verification checks whether generated claims are supported by evidence.,0,0,0,0,1.0,1.0,0.0,0.0,False,False,True,False,no_change
fabricated_010,unsupported fabricated claims,What is fact verification in large language models?,Fact verification checks whether generated claims are supported by evidence. Fact verification only checks grammar and punctuation.,Fact verification checks whether generated claims are supported by evidence.,1,0,0,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
wrong_entity_010,wrong entity claims,What is fact verification in large language models?,Fact verification was introduced by ChromaDB as an embedding store.,Insufficient evidence available in the knowledge base.,1,0,0,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
wrong_year_010,wrong year/date claims,Fact verification was invented in 2030 by this project.,Fact verification was invented in 2030 by this project.,Insufficient evidence available in the knowledge base.,1,0,1,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
numeric_010,unsupported numeric claims,What is fact verification in large language models?,Fact verification checks whether generated claims are supported by evidence. Fact verification requires exactly 7 evidence chunks for every claim.,Fact verification checks whether generated claims are supported by evidence.,1,0,0,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
method_010,unsupported method claims,What is fact verification in large language models?,Fact verification checks whether generated claims are supported by evidence. Fact verification fine-tunes a generator on retrieved passages for each query.,Fact verification checks whether generated claims are supported by evidence.,1,0,1,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
benchmark_010,unsupported benchmark claims,What is fact verification in large language models?,Fact verification checks whether generated claims are supported by evidence. Fact verification always achieves perfect macro F1 on every benchmark.,Fact verification checks whether generated claims are supported by evidence.,1,0,0,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
task_010,unsupported application/task claims,What is fact verification in large language models?,Fact verification checks whether generated claims are supported by evidence. Fact verification is used here for product review generation and e-commerce recommendations.,Fact verification checks whether generated claims are supported by evidence.,1,0,1,0,0.5,1.0,0.5,0.5,True,False,False,False,improved
definition_mismatch_010,definition mismatch claims,What is fact verification in large language models?,Fact verification only checks grammar and punctuation.,Insufficient evidence available in the knowledge base.,1,0,0,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
insufficient_010,insufficient-evidence queries,Who founded Fact verification?,Fact verification was founded by Ada Lovelace in 2020.,Insufficient evidence available in the knowledge base.,1,0,1,0,0.0,0.0,1.0,0.0,False,False,False,False,improved
