record_id,category,query,claim_index,claim,gold_label,predicted_label,support_score,rule_flags,rule_categories,nli_label,nli_available
task_001,unsupported application/task claims,What is retrieval-augmented generation?,1,Retrieval-Augmented Generation combines information retrieval with language generation.,supported,supported,0.96,,,not_run,False
task_001,unsupported application/task claims,What is retrieval-augmented generation?,2,RAG is proven for machine translation and sentiment analysis in this knowledge base.,unsupported,unsupported,0.0809,machine_translation_not_in_evidence;sentiment_analysis_not_in_evidence;unsupported_task_example_not_in_evidence,unsupported_task_claim,not_run,False
definition_mismatch_001,definition mismatch claims,What is retrieval-augmented generation?,1,Retrieval-Augmented Generation is a vector database.,unsupported,unsupported,0.3252,,,not_run,False
insufficient_001,insufficient-evidence queries,Who founded RAG?,1,RAG was founded by Ada Lovelace in 2020.,unsupported,unsupported,0.0348,claim_year_not_supported_by_evidence,temporal_mismatch,not_run,False
supported_002,supported factual claims,What is ColBERT?,1,ColBERT is a neural retrieval model that uses contextualized late interaction over BERT.,supported,supported,0.72,,,not_run,False
fabricated_002,unsupported fabricated claims,What is ColBERT?,1,ColBERT is a neural retrieval model that uses contextualized late interaction over BERT.,supported,supported,0.72,,,not_run,False
fabricated_002,unsupported fabricated claims,What is ColBERT?,2,ColBERT means Collaborative BERT.,unsupported,unsupported,0.1529,collaborative_bert_not_in_evidence,definition_mismatch,not_run,False
wrong_entity_002,wrong entity claims,What is ColBERT?,1,ColBERT was introduced by Patrick Lewis in 2020.,unsupported,unsupported,0.3,entity_mismatch_with_evidence,entity_mismatch,not_run,False
wrong_year_002,wrong year/date claims,ColBERT was introduced in 2018.,1,ColBERT was introduced in 2018.,unsupported,unsupported,0.25,numeric_mismatch_with_evidence,numeric_mismatch,not_run,False
numeric_002,unsupported numeric claims,What is ColBERT?,1,ColBERT is a neural retrieval model that uses contextualized late interaction over BERT.,supported,supported,0.72,,,not_run,False
numeric_002,unsupported numeric claims,What is ColBERT?,2,ColBERT requires exactly 500 query embeddings for each token.,unsupported,unsupported,0.1237,,,not_run,False
method_002,unsupported method claims,What is ColBERT?,1,ColBERT is a neural retrieval model that uses contextualized late interaction over BERT.,supported,supported,0.72,,,not_run,False
method_002,unsupported method claims,What is ColBERT?,2,ColBERT uses collaborative filtering to recommend products.,unsupported,unsupported,0.0374,collaborative_filtering_not_in_evidence,unsupported_method_claim,not_run,False
benchmark_002,unsupported benchmark claims,What is ColBERT?,1,ColBERT is a neural retrieval model that uses contextualized late interaction over BERT.,supported,supported,0.72,,,not_run,False
benchmark_002,unsupported benchmark claims,What is ColBERT?,2,ColBERT is always faster and more accurate than all sparse retrievers.,unsupported,unsupported,0.1471,,,not_run,False
task_002,unsupported application/task claims,What is ColBERT?,1,ColBERT is a neural retrieval model that uses contextualized late interaction over BERT.,supported,supported,0.72,,,not_run,False
task_002,unsupported application/task claims,What is ColBERT?,2,ColBERT is designed for product review generation and e-commerce ranking.,unsupported,unsupported,0.1856,ecommerce_not_in_evidence,unsupported_application_claim,not_run,False
definition_mismatch_002,definition mismatch claims,What is ColBERT?,1,ColBERT means Collaborative BERT.,unsupported,unsupported,0.1529,collaborative_bert_not_in_evidence,definition_mismatch,not_run,False
insufficient_002,insufficient-evidence queries,Who founded ColBERT?,1,ColBERT was founded by Ada Lovelace in 2020.,unsupported,unsupported,0.3133,,,not_run,False
supported_003,supported factual claims,What is TruthfulQA?,1,TruthfulQA is a benchmark for measuring whether language models give truthful answers.,supported,weak_support,0.6667,,,not_run,False
fabricated_003,unsupported fabricated claims,What is TruthfulQA?,1,TruthfulQA is a benchmark for measuring whether language models give truthful answers.,supported,weak_support,0.6667,,,not_run,False
fabricated_003,unsupported fabricated claims,What is TruthfulQA?,2,TruthfulQA is a vector database for storing embeddings.,unsupported,unsupported,0.1654,,,not_run,False
wrong_entity_003,wrong entity claims,What is TruthfulQA?,1,TruthfulQA was created by Omar Khattab for late interaction retrieval.,unsupported,unsupported,0.246,,,not_run,False
wrong_year_003,wrong year/date claims,TruthfulQA was introduced in 2030.,1,TruthfulQA was introduced in 2030.,unsupported,unsupported,0.1787,claim_year_not_supported_by_evidence,temporal_mismatch,not_run,False
numeric_003,unsupported numeric claims,What is TruthfulQA?,1,TruthfulQA is a benchmark for measuring whether language models give truthful answers.,supported,weak_support,0.6667,,,not_run,False
numeric_003,unsupported numeric claims,What is TruthfulQA?,2,TruthfulQA contains exactly 10 questions in the project corpus.,unsupported,unsupported,0.1085,,,not_run,False
method_003,unsupported method claims,What is TruthfulQA?,1,TruthfulQA is a benchmark for measuring whether language models give truthful answers.,supported,weak_support,0.6667,,,not_run,False
method_003,unsupported method claims,What is TruthfulQA?,2,TruthfulQA fine-tunes retrievers with human feedback in this system.,unsupported,unsupported,0.1026,fine_tuning_not_in_evidence,unsupported_method_claim,not_run,False
benchmark_003,unsupported benchmark claims,What is TruthfulQA?,1,TruthfulQA is a benchmark for measuring whether language models give truthful answers.,supported,weak_support,0.6667,,,not_run,False
benchmark_003,unsupported benchmark claims,What is TruthfulQA?,2,TruthfulQA reports state-of-the-art results on an unsupported private benchmark.,unsupported,unsupported,0.1865,,,not_run,False
task_003,unsupported application/task claims,What is TruthfulQA?,1,TruthfulQA is a benchmark for measuring whether language models give truthful answers.,supported,weak_support,0.6667,,,not_run,False
task_003,unsupported application/task claims,What is TruthfulQA?,2,TruthfulQA is an image recognition benchmark for autonomous vehicles.,unsupported,unsupported,0.2531,,,not_run,False
definition_mismatch_003,definition mismatch claims,What is TruthfulQA?,1,TruthfulQA is a vector database for storing embeddings.,unsupported,unsupported,0.1654,,,not_run,False
insufficient_003,insufficient-evidence queries,Who founded TruthfulQA?,1,TruthfulQA was founded by Ada Lovelace in 2020.,unsupported,unsupported,0.077,claim_year_not_supported_by_evidence,temporal_mismatch,not_run,False
supported_004,supported factual claims,What is BM25 retrieval?,1,BM25 is a sparse lexical retrieval method based on term matching.,supported,supported,0.96,,,not_run,False
fabricated_004,unsupported fabricated claims,What is BM25 retrieval?,1,BM25 is a sparse lexical retrieval method based on term matching.,supported,supported,0.96,,,not_run,False
fabricated_004,unsupported fabricated claims,What is BM25 retrieval?,2,BM25 is a dense transformer encoder.,unsupported,unsupported,0.2289,,,not_run,False
wrong_entity_004,wrong entity claims,What is BM25 retrieval?,1,BM25 was invented by Patrick Lewis for RAG in 2020.,unsupported,unsupported,0.0452,claim_year_not_supported_by_evidence,temporal_mismatch,not_run,False
wrong_year_004,wrong year/date claims,BM25 was introduced in 2025 in this project.,1,BM25 was introduced in 2025 in this project.,unsupported,unsupported,0.1244,claim_year_not_supported_by_evidence,temporal_mismatch,not_run,False
numeric_004,unsupported numeric claims,What is BM25 retrieval?,1,BM25 is a sparse lexical retrieval method based on term matching.,supported,supported,0.96,,,not_run,False
numeric_004,unsupported numeric claims,What is BM25 retrieval?,2,BM25 always returns exactly 25 documents.,unsupported,unsupported,0.1242,,,not_run,False
method_004,unsupported method claims,What is BM25 retrieval?,1,BM25 is a sparse lexical retrieval method based on term matching.,supported,supported,0.96,,,not_run,False
method_004,unsupported method claims,What is BM25 retrieval?,2,BM25 fine-tunes BERT weights during retrieval.,unsupported,unsupported,0.0762,fine_tuning_not_in_evidence,unsupported_method_claim,not_run,False
benchmark_004,unsupported benchmark claims,What is BM25 retrieval?,1,BM25 is a sparse lexical retrieval method based on term matching.,supported,supported,0.96,,,not_run,False
benchmark_004,unsupported benchmark claims,What is BM25 retrieval?,2,BM25 always beats dense retrieval on every benchmark.,unsupported,unsupported,0.1064,,,not_run,False
task_004,unsupported application/task claims,What is BM25 retrieval?,1,BM25 is a sparse lexical retrieval method based on term matching.,supported,supported,0.96,,,not_run,False
task_004,unsupported application/task claims,What is BM25 retrieval?,2,BM25 is a dialogue generation system in this project.,unsupported,unsupported,0.1999,,,not_run,False
definition_mismatch_004,definition mismatch claims,What is BM25 retrieval?,1,BM25 is a dense transformer encoder.,unsupported,unsupported,0.2289,,,not_run,False
insufficient_004,insufficient-evidence queries,Who founded BM25?,1,BM25 was founded by Ada Lovelace in 2020.,unsupported,unsupported,0.1064,claim_year_not_supported_by_evidence,temporal_mismatch,not_run,False
supported_005,supported factual claims,What is ChromaDB used for?,1,ChromaDB stores embeddings for similarity-based retrieval.,supported,unsupported,0.1993,,,not_run,False
fabricated_005,unsupported fabricated claims,What is ChromaDB used for?,1,ChromaDB stores embeddings for similarity-based retrieval.,supported,unsupported,0.1993,,,not_run,False
fabricated_005,unsupported fabricated claims,What is ChromaDB used for?,2,ChromaDB is a benchmark for truthful question answering.,unsupported,unsupported,0.2989,,,not_run,False
wrong_entity_005,wrong entity claims,What is ChromaDB used for?,1,ChromaDB was founded by Patrick Lewis and colleagues for RAG.,unsupported,unsupported,0.2157,,,not_run,False
wrong_year_005,wrong year/date claims,ChromaDB was introduced in 1991 in this corpus.,1,ChromaDB was introduced in 1991 in this corpus.,unsupported,unsupported,0.1962,claim_year_not_supported_by_evidence,temporal_mismatch,not_run,False
numeric_005,unsupported numeric claims,What is ChromaDB used for?,1,ChromaDB stores embeddings for similarity-based retrieval.,supported,unsupported,0.1993,,,not_run,False
numeric_005,unsupported numeric claims,What is ChromaDB used for?,2,ChromaDB requires exactly 4096 collections for RAG.,unsupported,unsupported,0.1494,,,not_run,False
method_005,unsupported method claims,What is ChromaDB used for?,1,ChromaDB stores embeddings for similarity-based retrieval.,supported,unsupported,0.1993,,,not_run,False
method_005,unsupported method claims,What is ChromaDB used for?,2,ChromaDB trains large language models from scratch.,unsupported,unsupported,0.0498,,,not_run,False
benchmark_005,unsupported benchmark claims,What is ChromaDB used for?,1,ChromaDB stores embeddings for similarity-based retrieval.,supported,unsupported,0.1993,,,not_run,False
benchmark_005,unsupported benchmark claims,What is ChromaDB used for?,2,ChromaDB reports state-of-the-art results on an unsupported private benchmark.,unsupported,unsupported,0.0749,,,not_run,False
task_005,unsupported application/task claims,What is ChromaDB used for?,1,ChromaDB stores embeddings for similarity-based retrieval.,supported,unsupported,0.1993,,,not_run,False
task_005,unsupported application/task claims,What is ChromaDB used for?,2,ChromaDB performs sentiment analysis and machine translation in this project.,unsupported,unsupported,0.1648,machine_translation_not_in_evidence;sentiment_analysis_not_in_evidence;unsupported_task_example_not_in_evidence,unsupported_task_claim,not_run,False
definition_mismatch_005,definition mismatch claims,What is ChromaDB used for?,1,ChromaDB is a benchmark for truthful question answering.,unsupported,unsupported,0.2989,,,not_run,False
insufficient_005,insufficient-evidence queries,Who founded ChromaDB?,1,ChromaDB was founded by Ada Lovelace in 2020.,unsupported,unsupported,0.1391,claim_year_not_supported_by_evidence,temporal_mismatch,not_run,False
supported_006,supported factual claims,What causes hallucination in LLMs?,1,LLM hallucinations can occur when generated text is plausible but unsupported by evidence.,supported,supported,0.96,,,not_run,False
fabricated_006,unsupported fabricated claims,What causes hallucination in LLMs?,1,LLM hallucinations can occur when generated text is plausible but unsupported by evidence.,supported,supported,0.96,,,not_run,False
fabricated_006,unsupported fabricated claims,What causes hallucination in LLMs?,2,LLM hallucination is a hardware failure in the GPU fan.,unsupported,unsupported,0.1415,,,not_run,False
wrong_entity_006,wrong entity claims,What causes hallucination in LLMs?,1,LLM hallucinations were introduced by ChromaDB as a vector database feature.,unsupported,unsupported,0.188,,,not_run,False
wrong_year_006,wrong year/date claims,LLM hallucination was solved completely in 2024.,1,LLM hallucination was solved completely in 2024.,unsupported,unsupported,0.1813,,,not_run,False
numeric_006,unsupported numeric claims,What causes hallucination in LLMs?,1,LLM hallucinations can occur when generated text is plausible but unsupported by evidence.,supported,supported,0.96,,,not_run,False
numeric_006,unsupported numeric claims,What causes hallucination in LLMs?,2,Every hallucination has exactly three unsupported words.,unsupported,unsupported,0.1506,,,not_run,False
method_006,unsupported method claims,What causes hallucination in LLMs?,1,LLM hallucinations can occur when generated text is plausible but unsupported by evidence.,supported,supported,0.96,,,not_run,False
method_006,unsupported method claims,What causes hallucination in LLMs?,2,Hallucination detection only uses grammar checking in this system.,unsupported,unsupported,0.0354,,,not_run,False
benchmark_006,unsupported benchmark claims,What causes hallucination in LLMs?,1,LLM hallucinations can occur when generated text is plausible but unsupported by evidence.,supported,supported,0.96,,,not_run,False
benchmark_006,unsupported benchmark claims,What causes hallucination in LLMs?,2,Hallucination detection eliminates all errors with 100 percent accuracy.,unsupported,unsupported,0.1061,,,not_run,False
task_006,unsupported application/task claims,What causes hallucination in LLMs?,1,LLM hallucinations can occur when generated text is plausible but unsupported by evidence.,supported,supported,0.96,,,not_run,False
task_006,unsupported application/task claims,What causes hallucination in LLMs?,2,Hallucination detection is an image segmentation task in this project.,unsupported,unsupported,0.1673,,,not_run,False
definition_mismatch_006,definition mismatch claims,What causes hallucination in LLMs?,1,LLM hallucination is a hardware failure in the GPU fan.,unsupported,unsupported,0.1415,,,not_run,False
insufficient_006,insufficient-evidence queries,Who founded LLM hallucination?,1,LLM hallucination was founded by Ada Lovelace in 2020.,unsupported,unsupported,0.2123,claim_year_not_supported_by_evidence,temporal_mismatch,not_run,False
supported_007,supported factual claims,Explain Vehicle Safety Systems,1,Vehicle safety systems reduce risk during driving through active and passive technologies.,supported,supported,0.7407,,,not_run,False
fabricated_007,unsupported fabricated claims,Explain Vehicle Safety Systems,1,Vehicle safety systems reduce risk during driving through active and passive technologies.,supported,supported,0.7407,,,not_run,False
fabricated_007,unsupported fabricated claims,Explain Vehicle Safety Systems,2,Vehicle safety systems are only used in Formula 1 cars.,unsupported,unsupported,0.2727,,,not_run,False
wrong_entity_007,wrong entity claims,Explain Vehicle Safety Systems,1,Vehicle safety systems were invented by Patrick Lewis for RAG.,unsupported,unsupported,0.2609,,,not_run,False
wrong_year_007,wrong year/date claims,Vehicle safety systems began only in 2025.,1,Vehicle safety systems began only in 2025.,unsupported,unsupported,0.2857,claim_year_not_supported_by_evidence,temporal_mismatch,not_run,False
numeric_007,unsupported numeric claims,Explain Vehicle Safety Systems,1,Vehicle safety systems reduce risk during driving through active and passive technologies.,supported,supported,0.7407,,,not_run,False
numeric_007,unsupported numeric claims,Explain Vehicle Safety Systems,2,Vehicle safety systems require exactly 12 airbags in every vehicle.,unsupported,unsupported,0.3478,,,not_run,False
method_007,unsupported method claims,Explain Vehicle Safety Systems,1,Vehicle safety systems reduce risk during driving through active and passive technologies.,supported,supported,0.7407,,,not_run,False
method_007,unsupported method claims,Explain Vehicle Safety Systems,2,Vehicle safety systems fine-tune a generator model on crash reports for each query.,unsupported,unsupported,0.2308,fine_tuning_not_in_evidence,unsupported_method_claim,not_run,False
benchmark_007,unsupported benchmark claims,Explain Vehicle Safety Systems,1,Vehicle safety systems reduce risk during driving through active and passive technologies.,supported,supported,0.7407,,,not_run,False
benchmark_007,unsupported benchmark claims,Explain Vehicle Safety Systems,2,Vehicle safety systems reports state-of-the-art results on an unsupported private benchmark.,unsupported,unsupported,0.24,,,not_run,False
task_007,unsupported application/task claims,Explain Vehicle Safety Systems,1,Vehicle safety systems reduce risk during driving through active and passive technologies.,supported,supported,0.7407,,,not_run,False
task_007,unsupported application/task claims,Explain Vehicle Safety Systems,2,Vehicle safety systems are a text classification benchmark in this corpus.,unsupported,unsupported,0.2609,text_classification_not_in_evidence;unsupported_task_example_not_in_evidence,unsupported_task_claim,not_run,False
definition_mismatch_007,definition mismatch claims,Explain Vehicle Safety Systems,1,Vehicle safety systems are only used in Formula 1 cars.,unsupported,unsupported,0.2727,,,not_run,False
insufficient_007,insufficient-evidence queries,Who founded Vehicle safety systems?,1,Vehicle safety systems was founded by Ada Lovelace in 2020.,unsupported,unsupported,0.2727,claim_year_not_supported_by_evidence,temporal_mismatch,not_run,False
supported_008,supported factual claims,Explain the evolution of smartphones,1,Smartphones evolved from mobile phones into internet-connected computing devices.,supported,supported,0.96,,,not_run,False
fabricated_008,unsupported fabricated claims,Explain the evolution of smartphones,1,Smartphones evolved from mobile phones into internet-connected computing devices.,supported,supported,0.96,,,not_run,False
fabricated_008,unsupported fabricated claims,Explain the evolution of smartphones,2,The first smartphone was released in 2025.,unsupported,unsupported,0.0,claim_year_not_supported_by_evidence,temporal_mismatch,not_run,False
wrong_entity_008,wrong entity claims,Explain the evolution of smartphones,1,Smartphones were introduced by Omar Khattab as ColBERT devices.,unsupported,unsupported,0.112,,,not_run,False
wrong_year_008,wrong year/date claims,Smartphones were invented in 2035.,1,Smartphones were invented in 2035.,unsupported,unsupported,0.077,claim_year_not_supported_by_evidence,temporal_mismatch,not_run,False
numeric_008,unsupported numeric claims,Explain the evolution of smartphones,1,Smartphones evolved from mobile phones into internet-connected computing devices.,supported,supported,0.96,,,not_run,False
numeric_008,unsupported numeric claims,Explain the evolution of smartphones,2,Smartphones must contain exactly 9 cameras to be considered modern.,unsupported,unsupported,0.1136,,,not_run,False
method_008,unsupported method claims,Explain the evolution of smartphones,1,Smartphones evolved from mobile phones into internet-connected computing devices.,supported,supported,0.96,,,not_run,False
method_008,unsupported method claims,Explain the evolution of smartphones,2,Smartphones use RRF to fine-tune language models in this project.,unsupported,unsupported,0.0341,fine_tuning_not_in_evidence,unsupported_method_claim,not_run,False
benchmark_008,unsupported benchmark claims,Explain the evolution of smartphones,1,Smartphones evolved from mobile phones into internet-connected computing devices.,supported,supported,0.96,,,not_run,False
benchmark_008,unsupported benchmark claims,Explain the evolution of smartphones,2,Every smartphone always outperforms every desktop computer.,unsupported,unsupported,0.0403,performance_comparison_not_in_evidence,unsupported_performance_claim,not_run,False
task_008,unsupported application/task claims,Explain the evolution of smartphones,1,Smartphones evolved from mobile phones into internet-connected computing devices.,supported,supported,0.96,,,not_run,False
task_008,unsupported application/task claims,Explain the evolution of smartphones,2,Smartphone evolution is a benchmark for NLI contradiction detection.,unsupported,unsupported,0.0379,,,not_run,False
definition_mismatch_008,definition mismatch claims,Explain the evolution of smartphones,1,The first smartphone was released in 2025.,unsupported,unsupported,0.0,claim_year_not_supported_by_evidence,temporal_mismatch,not_run,False
insufficient_008,insufficient-evidence queries,Who founded Smartphones?,1,Smartphones was founded by Ada Lovelace in 2020.,unsupported,unsupported,0.0806,claim_year_not_supported_by_evidence,temporal_mismatch,not_run,False
supported_009,supported factual claims,What is the role of AI in modern newsrooms?,1,"AI can assist newsrooms with summarization, transcription, search, and content recommendation.",supported,supported,0.9,,,not_run,False
fabricated_009,unsupported fabricated claims,What is the role of AI in modern newsrooms?,1,"AI can assist newsrooms with summarization, transcription, search, and content recommendation.",supported,supported,0.9,,,not_run,False
fabricated_009,unsupported fabricated claims,What is the role of AI in modern newsrooms?,2,AI fully replaces human editors in all modern newsrooms.,unsupported,unsupported,0.2857,,,not_run,False
wrong_entity_009,wrong entity claims,What is the role of AI in modern newsrooms?,1,AI in newsrooms was introduced by Max Verstappen for Formula 1 reporting.,unsupported,unsupported,0.1228,claim_numeric_not_supported_by_evidence,numeric_mismatch,not_run,False
wrong_year_009,wrong year/date claims,AI replaced all newsroom editors in 2022.,1,AI replaced all newsroom editors in 2022.,unsupported,unsupported,0.156,,,not_run,False
numeric_009,unsupported numeric claims,What is the role of AI in modern newsrooms?,1,"AI can assist newsrooms with summarization, transcription, search, and content recommendation.",supported,supported,0.9,,,not_run,False
numeric_009,unsupported numeric claims,What is the role of AI in modern newsrooms?,2,AI must write exactly 80 percent of every newsroom article.,unsupported,unsupported,0.1469,,,not_run,False
method_009,unsupported method claims,What is the role of AI in modern newsrooms?,1,"AI can assist newsrooms with summarization, transcription, search, and content recommendation.",supported,supported,0.9,,,not_run,False
method_009,unsupported method claims,What is the role of AI in modern newsrooms?,2,AI newsrooms train ChromaDB from scratch on every article.,unsupported,unsupported,0.0777,,,not_run,False
benchmark_009,unsupported benchmark claims,What is the role of AI in modern newsrooms?,1,"AI can assist newsrooms with summarization, transcription, search, and content recommendation.",supported,supported,0.9,,,not_run,False
benchmark_009,unsupported benchmark claims,What is the role of AI in modern newsrooms?,2,AI in modern newsrooms reports state-of-the-art results on an unsupported private benchmark.,unsupported,unsupported,0.1189,,,not_run,False
task_009,unsupported application/task claims,What is the role of AI in modern newsrooms?,1,"AI can assist newsrooms with summarization, transcription, search, and content recommendation.",supported,supported,0.9,,,not_run,False
task_009,unsupported application/task claims,What is the role of AI in modern newsrooms?,2,AI in newsrooms is a vehicle safety benchmark in this corpus.,unsupported,unsupported,0.0699,,,not_run,False
definition_mismatch_009,definition mismatch claims,What is the role of AI in modern newsrooms?,1,AI fully replaces human editors in all modern newsrooms.,unsupported,unsupported,0.2857,,,not_run,False
insufficient_009,insufficient-evidence queries,Who founded AI in modern newsrooms?,1,AI in modern newsrooms was founded by Ada Lovelace in 2020.,unsupported,unsupported,0.2337,claim_year_not_supported_by_evidence,temporal_mismatch,not_run,False
supported_010,supported factual claims,What is fact verification in large language models?,1,Fact verification checks whether generated claims are supported by evidence.,supported,supported,0.96,,,not_run,False
fabricated_010,unsupported fabricated claims,What is fact verification in large language models?,1,Fact verification checks whether generated claims are supported by evidence.,supported,supported,0.96,,,not_run,False
fabricated_010,unsupported fabricated claims,What is fact verification in large language models?,2,Fact verification only checks grammar and punctuation.,unsupported,unsupported,0.3158,,,not_run,False
wrong_entity_010,wrong entity claims,What is fact verification in large language models?,1,Fact verification was introduced by ChromaDB as an embedding store.,unsupported,unsupported,0.0871,,,not_run,False
wrong_year_010,wrong year/date claims,Fact verification was invented in 2030 by this project.,1,Fact verification was invented in 2030 by this project.,unsupported,unsupported,0.35,claim_year_not_supported_by_evidence,temporal_mismatch,not_run,False
numeric_010,unsupported numeric claims,What is fact verification in large language models?,1,Fact verification checks whether generated claims are supported by evidence.,supported,supported,0.96,,,not_run,False
numeric_010,unsupported numeric claims,What is fact verification in large language models?,2,Fact verification requires exactly 7 evidence chunks for every claim.,unsupported,unsupported,0.2857,,,not_run,False
method_010,unsupported method claims,What is fact verification in large language models?,1,Fact verification checks whether generated claims are supported by evidence.,supported,supported,0.96,,,not_run,False
method_010,unsupported method claims,What is fact verification in large language models?,2,Fact verification fine-tunes a generator on retrieved passages for each query.,unsupported,unsupported,0.2857,fine_tuning_not_in_evidence,unsupported_method_claim,not_run,False
benchmark_010,unsupported benchmark claims,What is fact verification in large language models?,1,Fact verification checks whether generated claims are supported by evidence.,supported,supported,0.96,,,not_run,False
benchmark_010,unsupported benchmark claims,What is fact verification in large language models?,2,Fact verification always achieves perfect macro F1 on every benchmark.,unsupported,unsupported,0.1261,,,not_run,False
task_010,unsupported application/task claims,What is fact verification in large language models?,1,Fact verification checks whether generated claims are supported by evidence.,supported,supported,0.96,,,not_run,False
task_010,unsupported application/task claims,What is fact verification in large language models?,2,Fact verification is used here for product review generation and e-commerce recommendations.,unsupported,unsupported,0.1718,ecommerce_not_in_evidence,unsupported_application_claim,not_run,False
definition_mismatch_010,definition mismatch claims,What is fact verification in large language models?,1,Fact verification only checks grammar and punctuation.,unsupported,unsupported,0.3158,,,not_run,False
insufficient_010,insufficient-evidence queries,Who founded Fact verification?,1,Fact verification was founded by Ada Lovelace in 2020.,unsupported,unsupported,0.1999,claim_year_not_supported_by_evidence,temporal_mismatch,not_run,False
